"X","LLM","tau","var1","var2","var3","var4","var5","n","treatment","temperature","ci_lower_tau","ci_upper_tau","ci_lower_n","ci_upper_n"
7,"claude2",1.11292786317067e-48,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538462,26,"onehalf_0.75",0.75,1.11292786317067e-48,1.11292786317067e-48,26,26
8,"claude2",0.916022794443204,0.970588235294118,4.94117647058824,6.11764705882353,6.11764705882353,0.970588235294118,34,"twothirds_0.75",0.75,0.876348741213111,0.957193319096019,34,34
9,"claude2",1.11292470004393e-48,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.75",0.75,1.11292470004393e-48,1.11292470004393e-48,68,68
1,"claude3",1.49999948916569,0.961538461538461,5.53846153846154,6.34615384615385,6.46153846153846,0.961538461538462,26,"onehalf_0.25",0.25,1.49999927484088,1.49999995986608,26,26
2,"claude3",2.86685444338775,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"twothirds_0.25",0.25,2.86685213383698,2.86685826150607,34,34
3,"claude3",7.65293286591209e-44,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.25",0.25,7.679716483435e-46,1.88285145683932e-41,68,68
4,"claude3",1.49999946964692,0.961538461538461,5.53846153846154,6.34615384615385,6.46153846153846,0.961538461538462,26,"onehalf_0.5",0.5,1.30638580657312,1.56874566187858,26,26
5,"claude3",2.86685843675854,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"twothirds_0.5",0.5,2.86685843675854,2.86685843675854,34,34
6,"claude3",7.60995493963271e-44,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.5",0.5,7.65907492120751e-46,1.86664628139765e-41,68,68
7,"claude3",1.49999966178635,0.961538461538461,5.53846153846154,6.34615384615385,6.46153846153846,0.961538461538462,26,"onehalf_0.75",0.75,1.49999925866153,1.56874538621797,26,26
8,"claude3",2.86685843675854,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"twothirds_0.75",0.75,2.86685843675854,2.86685843675854,34,34
9,"claude3",7.54668956417088e-44,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.75",0.75,7.61367660036658e-46,7.52292783223379e-42,68,68
1,"gemini1",1.11292786317067e-48,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538462,26,"onehalf_0.5",0.5,1.11292786317067e-48,1.11292786317067e-48,26,26
2,"gemini1",1.11292786317067e-48,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538462,26,"onehalf_0.25",0.25,1.11292786317067e-48,1.11292786317067e-48,26,26
3,"gemini1",1.11292786317067e-48,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538461,0.961538461538462,26,"onehalf_0.75",0.75,1.11292786317067e-48,1.11292786317067e-48,26,26
4,"gemini1",1.11292609181859e-48,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.5",0.5,1.11292571224351e-48,1.11292634486871e-48,68,68
5,"gemini1",1.11292545919352e-48,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.25",0.25,1.11292507961866e-48,1.11292571224351e-48,68,68
6,"gemini1",1.11292634486871e-48,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.75",0.75,1.11292596529354e-48,1.11292673077026e-48,68,68
7,"gemini1",0.855717050168406,0.970588235294118,4.94117647058824,5.55882352941177,6.11764705882353,0.970588235294118,34,"twothirds_0.5",0.5,0.794253787682218,0.905739367474141,34,34
8,"gemini1",0.936600664942653,0.970588235294118,4.94117647058824,6.11764705882353,6.11764705882353,0.970588235294118,34,"twothirds_0.25",0.25,0.885864236786354,0.967495132587443,34,34
9,"gemini1",0.824804530261815,0.970588235294118,4.94117647058824,5.55882352941177,6.11764705882353,0.970588235294118,34,"twothirds_0.75",0.75,0.766142634585302,0.885786634123946,34,34
1,"gemini2",2.12499987221506,0.961538461538461,5.88461538461538,6.5,6.46153846153846,0.961538461538462,26,"onehalf_0.5",0.5,2.01001442674781,2.12499988215302,26,26
2,"gemini2",1.49999977066731,0.961538461538461,5.53846153846154,6.34615384615385,6.46153846153846,0.961538461538462,26,"onehalf_0.25",0.25,1.49999873052712,1.49999996424776,26,26
3,"gemini2",1.49999993087599,0.961538461590936,5.53846153848874,6.34615384617274,6.46153846155492,0.961538461538545,26.0000000000568,"onehalf_0.75",0.75,1.49999835827022,1.4999999817805,25.9999999999332,26.0000000000511
4,"gemini2",6.54192814202473e-36,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.5",0.5,3.32771551300532e-39,1.56213520379321e-32,68,68
5,"gemini2",1.36170208693016e-41,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.25",0.25,8.615168020964e-44,4.10632811067338e-39,68,68
6,"gemini2",3.07875708656133e-31,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647055,0.985294117647059,68,"fourthirds_0.75",0.75,8.05994064128999e-35,1.90115035911019e-27,68,68
7,"gemini2",2.45902234972534,0.970588235294118,6.61764705882353,8.02941176470588,8.23529411764706,0.970588235294118,34,"twothirds_0.5",0.5,2.38983167496688,2.72394141862576,34,34
8,"gemini2",2.86685775585743,0.970588235294118,6.61764705882353,8.02941176470588,8.38235294117647,0.970588235294118,34,"twothirds_0.25",0.25,2.4590214939158,2.86685847521697,34,34
9,"gemini2",3.03784939362745,0.970588235294118,6.61764705882353,8.02941176470588,8.47058823529412,0.970588235294118,34,"twothirds_0.75",0.75,2.9777137696855,3.36901995365975,34,34
