session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp,LLM
7,3,50,35,24,14,10,8,7,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,4,50,35,20,10,10,10,6,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,5,50,35,24,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,6,50,40,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,7,50,35,20,10,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,8,50,45,24,14,10,10,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,9,50,35,24,10,10,15,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,10,50,45,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
7,11,50,25,20,10,10,10,7,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,1,50,37,24,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,2,50,30,18,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,3,50,25,20,14,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,4,50,35,20,10,10,7,5,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,5,50,35,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,6,50,33,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,7,50,30,20,10,10,10,7,3,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,8,50,35,20,15,10,10,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,9,33,33,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,10,50,35,20,15,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
8,11,50,40,18,14,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,1,50,40,20,10,10,10,6,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,2,50,45,20,10,10,15,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,3,50,34,20,10,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,4,50,35,24,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,5,50,35,20,14,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,6,50,30,20,15,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,7,50,35,20,10,10,10,7,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,8,50,25,25,10,10,8,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,9,50,38,20,15,10,10,5,5,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,10,50,35,20,14,10,10,7,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
9,11,50,45,20,10,10,10,5,4,3,2,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25,chatgpt4
1,1,35,18,15,8,8,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,2,45,17,17,7,10,8,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,3,33,47,14,12,13,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,4,50,40,15,14,7,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,5,50,18,18,12,6,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,6,50,56,15,9,8,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,7,50,38,18,8,7,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,8,50,27,17,9,6,7,4,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,9,50,40,38,7,5,6,6,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,10,50,30,15,8,5,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,11,50,38,18,8,5,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,1,34,19,15,8,7,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,2,50,45,18,8,6,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,3,50,55,22,8,9,7,5,5,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,4,45,36,20,12,8,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,5,33,23,20,8,10,7,6,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,6,50,42,14,12,13,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,7,50,21,27,8,10,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,8,50,45,15,12,8,9,7,5,5,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,9,50,30,18,8,13,6,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,10,60,17,30,8,10,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
2,11,45,17,16,10,8,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,1,50,35,18,15,12,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,2,50,38,19,8,8,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,3,50,35,15,12,12,9,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,4,35,60,15,8,6,6,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,5,40,35,15,7,8,7,7,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,6,50,45,15,7,13,8,5,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,7,33,45,20,12,7,8,6,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,8,50,33,18,8,6,8,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,9,50,35,15,10,13,6,5,4,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,10,37,21,15,8,13,6,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
3,11,45,35,10,10,12,7,6,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,1,50,30,20,10,12,8,5,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,2,50,50,15,14,9,8,4,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,3,35,25,20,12,12,8,6,5,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,4,50,35,13,12,5,7,5,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,5,45,35,15,7,6,7,5,3,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,6,50,18,35,10,9,7,5,4,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,7,50,37,18,12,8,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,8,33,48,15,10,8,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,9,50,38,15,8,7,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,10,50,35,21,10,13,8,6,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
4,11,50,25,25,8,8,6,6,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,1,50,45,22,8,9,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,2,45,40,20,8,8,6,5,5,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,3,50,45,23,10,8,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,4,50,40,18,8,10,7,5,5,3,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,5,50,35,15,7,5,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,6,50,35,23,10,6,8,5,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,7,50,18,16,12,6,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,8,50,32,18,9,8,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,9,50,52,22,12,7,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,10,35,35,20,8,8,8,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
5,11,35,40,17,8,10,7,5,5,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,1,50,32,15,10,13,8,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,2,50,32,15,10,7,8,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,3,47,20,16,10,8,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,4,45,45,12,8,10,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,5,33,27,19,8,13,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,6,33,35,19,10,10,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,7,50,30,21,12,13,7,6,5,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,8,50,50,28,10,12,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,9,35,33,15,14,6,6,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,10,35,37,20,7,6,8,5,5,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
6,11,50,42,12,10,6,7,5,6,4,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,1,50,50,15,12,6,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,2,33,38,12,9,10,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,3,50,15,15,9,10,7,6,4,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,4,50,38,15,8,13,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,5,35,37,15,8,9,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,6,50,34,15,8,10,6,5,4,5,4,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,7,33,40,16,10,13,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,8,50,32,20,8,7,6,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,9,50,45,18,7,13,8,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,10,35,42,15,13,7,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
7,11,50,55,18,8,13,5,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,1,50,35,19,9,13,7,5,4,5,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,2,50,19,18,8,6,6,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,3,50,35,15,8,13,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,4,50,40,27,15,9,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,5,33,37,13,8,13,9,4,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,6,50,37,19,9,7,8,5,4,3,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,7,50,33,21,13,8,6,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,8,50,45,19,13,13,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,9,50,35,18,15,12,6,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,10,50,30,15,12,10,8,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
8,11,50,35,16,8,13,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,1,50,15,17,8,13,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,2,45,35,18,8,10,7,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,3,50,45,10,12,7,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,4,50,35,15,12,5,8,5,4,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,5,50,32,15,9,8,7,4,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,6,15,18,15,12,12,5,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,7,50,32,15,7,8,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,8,50,38,15,12,13,7,6,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,9,50,20,24,10,8,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,10,48,18,22,8,8,7,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
9,11,38,19,22,8,7,4,5,5,4,3,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5,chatgpt4
1,1,35,31,24,28,23,23,21,18,24,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,2,35,60,32,25,25,23,19,18,14,17,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,3,50,75,32,24,24,23,21,19,14,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,4,38,30,31,27,22,22,21,13,14,12,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,5,47,36,35,20,25,22,20,19,14,11,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,6,15,29,53,24,25,24,21,18,16,11,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,7,34,59,31,27,30,0,20,18,15,8,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,8,50,45,28,28,23,25,21,18,14,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,9,23,37,35,22,23,20,23,20,14,15,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,10,49,17,33,27,35,50,20,19,14,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
1,11,50,35,33,26,26,35,20,16,14,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
2,1,45,33,31,25,29,21,21,27,27,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
2,2,25,19,24,21,20,18,17,16,15,8,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
2,3,66,37,30,24,24,23,21,15,14,12,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
2,4,50,32,35,26,22,23,21,15,13,10,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75,chatgpt4
