,subject,response_raw,p_val,size,avg,act_as,play_against,temp,response
28,29,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
29,30,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
30,31,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
31,32,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
32,33,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
33,34,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
34,35,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
35,36,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
36,37,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
37,38,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
38,39,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
39,40,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
40,41,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
41,42,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
42,43,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
43,44,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
44,45,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
45,46,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
46,47,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
47,48,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
48,49,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
49,50,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
50,51,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
51,52,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
52,53,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
53,54,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
54,55,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
55,56,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
56,57,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
57,58,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
58,59,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
59,60,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
60,61,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
61,62,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
62,63,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
63,64,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
64,65,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
65,66,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
66,67,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
67,68,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
68,69,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
69,70,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
70,71,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
71,72,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
72,73,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
73,74,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
74,75,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
75,76,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
76,77,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
77,78,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
78,79,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
79,80,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
80,81,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
81,82,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
82,83,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
83,84,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
84,85,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
85,86,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
86,87,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
87,88,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
88,89,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
89,90,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
90,91,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
91,92,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
92,93,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
93,94,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
94,95,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
95,96,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
96,97,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
97,98,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
98,99,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
99,100,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.25,50
100,1,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
101,2,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
102,3,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
103,4,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
104,5,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
105,6,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
106,7,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
107,8,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
108,9,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
109,10,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
110,11,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
111,12,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
112,13,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
113,14,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
114,15,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
115,16,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
116,17,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
117,18,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
118,19,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
119,20,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
120,21,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
121,22,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
122,23,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
123,24,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
124,25,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
125,26,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
126,27,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
127,28,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
128,29,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
129,30,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
130,31,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
131,32,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
132,33,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
133,34,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
134,35,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
135,36,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
136,37,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
137,38,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
138,39,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
139,40,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
140,41,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
141,42,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
142,43,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
143,44,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
144,45,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
145,46,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
146,47,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
147,48,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
148,49,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
149,50,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
150,51,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
151,52,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
152,53,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
153,54,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
154,55,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
155,56,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
156,57,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
157,58,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
158,59,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
159,60,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
160,61,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
161,62,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
162,63,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
163,64,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
164,65,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
165,66,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
166,67,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
167,68,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
168,69,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
169,70,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
170,71,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
171,72,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
172,73,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
173,74,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
174,75,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
175,76,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
176,77,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
177,78,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
178,79,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
179,80,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
180,81,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
181,82,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
182,83,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
183,84,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
184,85,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
185,86,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
186,87,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
187,88,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
188,89,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
189,90,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
190,91,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
191,92,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
192,93,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
193,94,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
194,95,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
195,96,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
196,97,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
197,98,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
198,99,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
199,100,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.25,33
200,1,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
201,2,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
202,3,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
203,4,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
204,5,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
205,6,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
206,7,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
207,8,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
208,9,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
209,10,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
210,11,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
211,12,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
212,13,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
213,14,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
214,15,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
215,16,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
216,17,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
217,18,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
218,19,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
219,20,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
220,21,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
221,22,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
222,23,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
223,24,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
224,25,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
225,26,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
226,27,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
227,28,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
228,29,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
229,30,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
230,31,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
231,32,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
232,33,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
233,34,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
234,35,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
235,36,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
236,37,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
237,38,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
238,39,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
239,40,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
240,41,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
241,42,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
242,43,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
243,44,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
244,45,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
245,46,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
246,47,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
247,48,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
248,49,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
249,50,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
250,51,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
251,52,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
252,53,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
253,54,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
254,55,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
255,56,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
256,57,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
257,58,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
258,59,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
259,60,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
260,61,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
261,62,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
