subject,response,p_val,size,avg,act_as,play_against,temp
62,22,2-Jan,11,average,human decision maker,human decision maker,0.25
63,15,2-Jan,11,average,human decision maker,human decision maker,0.25
64,17,2-Jan,11,average,human decision maker,human decision maker,0.25
65,17,2-Jan,11,average,human decision maker,human decision maker,0.25
66,22,2-Jan,11,average,human decision maker,human decision maker,0.25
67,22,2-Jan,11,average,human decision maker,human decision maker,0.25
68,17,2-Jan,11,average,human decision maker,human decision maker,0.25
69,22,2-Jan,11,average,human decision maker,human decision maker,0.25
70,22,2-Jan,11,average,human decision maker,human decision maker,0.25
71,22,2-Jan,11,average,human decision maker,human decision maker,0.25
72,15,2-Jan,11,average,human decision maker,human decision maker,0.25
73,22,2-Jan,11,average,human decision maker,human decision maker,0.25
74,15,2-Jan,11,average,human decision maker,human decision maker,0.25
75,22,2-Jan,11,average,human decision maker,human decision maker,0.25
76,15,2-Jan,11,average,human decision maker,human decision maker,0.25
77,17,2-Jan,11,average,human decision maker,human decision maker,0.25
78,22,2-Jan,11,average,human decision maker,human decision maker,0.25
79,17,2-Jan,11,average,human decision maker,human decision maker,0.25
80,22,2-Jan,11,average,human decision maker,human decision maker,0.25
81,33,2-Jan,11,average,human decision maker,human decision maker,0.25
82,22,2-Jan,11,average,human decision maker,human decision maker,0.25
83,22,2-Jan,11,average,human decision maker,human decision maker,0.25
84,22,2-Jan,11,average,human decision maker,human decision maker,0.25
85,22,2-Jan,11,average,human decision maker,human decision maker,0.25
86,22,2-Jan,11,average,human decision maker,human decision maker,0.25
87,22,2-Jan,11,average,human decision maker,human decision maker,0.25
88,22,2-Jan,11,average,human decision maker,human decision maker,0.25
89,17,2-Jan,11,average,human decision maker,human decision maker,0.25
90,17,2-Jan,11,average,human decision maker,human decision maker,0.25
91,15,2-Jan,11,average,human decision maker,human decision maker,0.25
92,22,2-Jan,11,average,human decision maker,human decision maker,0.25
93,15,2-Jan,11,average,human decision maker,human decision maker,0.25
94,22,2-Jan,11,average,human decision maker,human decision maker,0.25
95,22,2-Jan,11,average,human decision maker,human decision maker,0.25
96,22,2-Jan,11,average,human decision maker,human decision maker,0.25
97,22,2-Jan,11,average,human decision maker,human decision maker,0.25
98,22,2-Jan,11,average,human decision maker,human decision maker,0.25
99,33,2-Jan,11,average,human decision maker,human decision maker,0.25
100,22,2-Jan,11,average,human decision maker,human decision maker,0.25
1,22,3-Feb,11,average,human decision maker,human decision maker,0.25
2,22,3-Feb,11,average,human decision maker,human decision maker,0.25
3,22,3-Feb,11,average,human decision maker,human decision maker,0.25
4,22,3-Feb,11,average,human decision maker,human decision maker,0.25
5,22,3-Feb,11,average,human decision maker,human decision maker,0.25
6,22,3-Feb,11,average,human decision maker,human decision maker,0.25
7,22,3-Feb,11,average,human decision maker,human decision maker,0.25
8,22,3-Feb,11,average,human decision maker,human decision maker,0.25
9,22,3-Feb,11,average,human decision maker,human decision maker,0.25
10,22,3-Feb,11,average,human decision maker,human decision maker,0.25
11,21,3-Feb,11,average,human decision maker,human decision maker,0.25
12,21,3-Feb,11,average,human decision maker,human decision maker,0.25
13,22,3-Feb,11,average,human decision maker,human decision maker,0.25
14,22,3-Feb,11,average,human decision maker,human decision maker,0.25
15,22,3-Feb,11,average,human decision maker,human decision maker,0.25
16,22,3-Feb,11,average,human decision maker,human decision maker,0.25
17,22,3-Feb,11,average,human decision maker,human decision maker,0.25
18,22,3-Feb,11,average,human decision maker,human decision maker,0.25
19,22,3-Feb,11,average,human decision maker,human decision maker,0.25
20,22,3-Feb,11,average,human decision maker,human decision maker,0.25
21,22,3-Feb,11,average,human decision maker,human decision maker,0.25
22,22,3-Feb,11,average,human decision maker,human decision maker,0.25
23,21,3-Feb,11,average,human decision maker,human decision maker,0.25
24,22,3-Feb,11,average,human decision maker,human decision maker,0.25
25,22,3-Feb,11,average,human decision maker,human decision maker,0.25
26,22,3-Feb,11,average,human decision maker,human decision maker,0.25
27,22,3-Feb,11,average,human decision maker,human decision maker,0.25
28,22,3-Feb,11,average,human decision maker,human decision maker,0.25
29,22,3-Feb,11,average,human decision maker,human decision maker,0.25
30,22,3-Feb,11,average,human decision maker,human decision maker,0.25
31,22,3-Feb,11,average,human decision maker,human decision maker,0.25
32,22,3-Feb,11,average,human decision maker,human decision maker,0.25
33,22,3-Feb,11,average,human decision maker,human decision maker,0.25
34,22,3-Feb,11,average,human decision maker,human decision maker,0.25
35,22,3-Feb,11,average,human decision maker,human decision maker,0.25
36,22,3-Feb,11,average,human decision maker,human decision maker,0.25
37,22,3-Feb,11,average,human decision maker,human decision maker,0.25
38,22,3-Feb,11,average,human decision maker,human decision maker,0.25
39,22,3-Feb,11,average,human decision maker,human decision maker,0.25
40,22,3-Feb,11,average,human decision maker,human decision maker,0.25
41,22,3-Feb,11,average,human decision maker,human decision maker,0.25
42,22,3-Feb,11,average,human decision maker,human decision maker,0.25
43,22,3-Feb,11,average,human decision maker,human decision maker,0.25
44,22,3-Feb,11,average,human decision maker,human decision maker,0.25
45,22,3-Feb,11,average,human decision maker,human decision maker,0.25
46,22,3-Feb,11,average,human decision maker,human decision maker,0.25
47,22,3-Feb,11,average,human decision maker,human decision maker,0.25
48,22,3-Feb,11,average,human decision maker,human decision maker,0.25
49,22,3-Feb,11,average,human decision maker,human decision maker,0.25
50,22,3-Feb,11,average,human decision maker,human decision maker,0.25
51,22,3-Feb,11,average,human decision maker,human decision maker,0.25
52,22,3-Feb,11,average,human decision maker,human decision maker,0.25
53,22,3-Feb,11,average,human decision maker,human decision maker,0.25
54,21,3-Feb,11,average,human decision maker,human decision maker,0.25
55,22,3-Feb,11,average,human decision maker,human decision maker,0.25
56,21,3-Feb,11,average,human decision maker,human decision maker,0.25
57,22,3-Feb,11,average,human decision maker,human decision maker,0.25
58,22,3-Feb,11,average,human decision maker,human decision maker,0.25
59,21,3-Feb,11,average,human decision maker,human decision maker,0.25
60,22,3-Feb,11,average,human decision maker,human decision maker,0.25
61,22,3-Feb,11,average,human decision maker,human decision maker,0.25
62,22,3-Feb,11,average,human decision maker,human decision maker,0.25
63,22,3-Feb,11,average,human decision maker,human decision maker,0.25
64,22,3-Feb,11,average,human decision maker,human decision maker,0.25
65,22,3-Feb,11,average,human decision maker,human decision maker,0.25
66,22,3-Feb,11,average,human decision maker,human decision maker,0.25
67,22,3-Feb,11,average,human decision maker,human decision maker,0.25
68,22,3-Feb,11,average,human decision maker,human decision maker,0.25
69,22,3-Feb,11,average,human decision maker,human decision maker,0.25
70,22,3-Feb,11,average,human decision maker,human decision maker,0.25
71,22,3-Feb,11,average,human decision maker,human decision maker,0.25
72,21,3-Feb,11,average,human decision maker,human decision maker,0.25
73,21,3-Feb,11,average,human decision maker,human decision maker,0.25
74,22,3-Feb,11,average,human decision maker,human decision maker,0.25
75,22,3-Feb,11,average,human decision maker,human decision maker,0.25
76,22,3-Feb,11,average,human decision maker,human decision maker,0.25
77,22,3-Feb,11,average,human decision maker,human decision maker,0.25
78,22,3-Feb,11,average,human decision maker,human decision maker,0.25
79,22,3-Feb,11,average,human decision maker,human decision maker,0.25
80,22,3-Feb,11,average,human decision maker,human decision maker,0.25
81,22,3-Feb,11,average,human decision maker,human decision maker,0.25
82,22,3-Feb,11,average,human decision maker,human decision maker,0.25
83,22,3-Feb,11,average,human decision maker,human decision maker,0.25
84,22,3-Feb,11,average,human decision maker,human decision maker,0.25
85,22,3-Feb,11,average,human decision maker,human decision maker,0.25
86,21,3-Feb,11,average,human decision maker,human decision maker,0.25
87,22,3-Feb,11,average,human decision maker,human decision maker,0.25
88,22,3-Feb,11,average,human decision maker,human decision maker,0.25
89,22,3-Feb,11,average,human decision maker,human decision maker,0.25
90,21,3-Feb,11,average,human decision maker,human decision maker,0.25
91,22,3-Feb,11,average,human decision maker,human decision maker,0.25
92,21,3-Feb,11,average,human decision maker,human decision maker,0.25
93,22,3-Feb,11,average,human decision maker,human decision maker,0.25
94,21,3-Feb,11,average,human decision maker,human decision maker,0.25
95,22,3-Feb,11,average,human decision maker,human decision maker,0.25
96,22,3-Feb,11,average,human decision maker,human decision maker,0.25
97,22,3-Feb,11,average,human decision maker,human decision maker,0.25
98,22,3-Feb,11,average,human decision maker,human decision maker,0.25
99,22,3-Feb,11,average,human decision maker,human decision maker,0.25
100,22,3-Feb,11,average,human decision maker,human decision maker,0.25
1,50,3-Apr,11,average,human decision maker,human decision maker,0.25
2,27,3-Apr,11,average,human decision maker,human decision maker,0.25
3,28,3-Apr,11,average,human decision maker,human decision maker,0.25
4,45,3-Apr,11,average,human decision maker,human decision maker,0.25
5,47,3-Apr,11,average,human decision maker,human decision maker,0.25
6,45,3-Apr,11,average,human decision maker,human decision maker,0.25
7,45,3-Apr,11,average,human decision maker,human decision maker,0.25
8,27,3-Apr,11,average,human decision maker,human decision maker,0.25
9,27,3-Apr,11,average,human decision maker,human decision maker,0.25
10,45,3-Apr,11,average,human decision maker,human decision maker,0.25
11,23,3-Apr,11,average,human decision maker,human decision maker,0.25
12,50,3-Apr,11,average,human decision maker,human decision maker,0.25
13,50,3-Apr,11,average,human decision maker,human decision maker,0.25
14,27,3-Apr,11,average,human decision maker,human decision maker,0.25
15,45,3-Apr,11,average,human decision maker,human decision maker,0.25
16,28,3-Apr,11,average,human decision maker,human decision maker,0.25
17,50,3-Apr,11,average,human decision maker,human decision maker,0.25
18,50,3-Apr,11,average,human decision maker,human decision maker,0.25
19,50,3-Apr,11,average,human decision maker,human decision maker,0.25
20,50,3-Apr,11,average,human decision maker,human decision maker,0.25
21,67,3-Apr,11,average,human decision maker,human decision maker,0.25
22,67,3-Apr,11,average,human decision maker,human decision maker,0.25
23,67,3-Apr,11,average,human decision maker,human decision maker,0.25
24,50,3-Apr,11,average,human decision maker,human decision maker,0.25
25,50,3-Apr,11,average,human decision maker,human decision maker,0.25
26,45,3-Apr,11,average,human decision maker,human decision maker,0.25
27,45,3-Apr,11,average,human decision maker,human decision maker,0.25
28,27,3-Apr,11,average,human decision maker,human decision maker,0.25
29,27,3-Apr,11,average,human decision maker,human decision maker,0.25
30,27,3-Apr,11,average,human decision maker,human decision maker,0.25
31,27,3-Apr,11,average,human decision maker,human decision maker,0.25
32,50,3-Apr,11,average,human decision maker,human decision maker,0.25
33,67,3-Apr,11,average,human decision maker,human decision maker,0.25
34,50,3-Apr,11,average,human decision maker,human decision maker,0.25
35,45,3-Apr,11,average,human decision maker,human decision maker,0.25
36,67,3-Apr,11,average,human decision maker,human decision maker,0.25
37,50,3-Apr,11,average,human decision maker,human decision maker,0.25
38,50,3-Apr,11,average,human decision maker,human decision maker,0.25
39,67,3-Apr,11,average,human decision maker,human decision maker,0.25
40,27,3-Apr,11,average,human decision maker,human decision maker,0.25
41,27,3-Apr,11,average,human decision maker,human decision maker,0.25
42,45,3-Apr,11,average,human decision maker,human decision maker,0.25
43,28,3-Apr,11,average,human decision maker,human decision maker,0.25
44,45,3-Apr,11,average,human decision maker,human decision maker,0.25
45,45,3-Apr,11,average,human decision maker,human decision maker,0.25
46,28,3-Apr,11,average,human decision maker,human decision maker,0.25
47,50,3-Apr,11,average,human decision maker,human decision maker,0.25
48,27,3-Apr,11,average,human decision maker,human decision maker,0.25
49,50,3-Apr,11,average,human decision maker,human decision maker,0.25
50,67,3-Apr,11,average,human decision maker,human decision maker,0.25
51,67,3-Apr,11,average,human decision maker,human decision maker,0.25
52,27,3-Apr,11,average,human decision maker,human decision maker,0.25
53,45,3-Apr,11,average,human decision maker,human decision maker,0.25
54,50,3-Apr,11,average,human decision maker,human decision maker,0.25
55,50,3-Apr,11,average,human decision maker,human decision maker,0.25
56,50,3-Apr,11,average,human decision maker,human decision maker,0.25
57,45,3-Apr,11,average,human decision maker,human decision maker,0.25
58,47,3-Apr,11,average,human decision maker,human decision maker,0.25
59,67,3-Apr,11,average,human decision maker,human decision maker,0.25
60,67,3-Apr,11,average,human decision maker,human decision maker,0.25
61,45,3-Apr,11,average,human decision maker,human decision maker,0.25
62,50,3-Apr,11,average,human decision maker,human decision maker,0.25
63,50,3-Apr,11,average,human decision maker,human decision maker,0.25
64,45,3-Apr,11,average,human decision maker,human decision maker,0.25
65,45,3-Apr,11,average,human decision maker,human decision maker,0.25
66,27,3-Apr,11,average,human decision maker,human decision maker,0.25
67,23,3-Apr,11,average,human decision maker,human decision maker,0.25
68,67,3-Apr,11,average,human decision maker,human decision maker,0.25
69,27,3-Apr,11,average,human decision maker,human decision maker,0.25
70,27,3-Apr,11,average,human decision maker,human decision maker,0.25
71,27,3-Apr,11,average,human decision maker,human decision maker,0.25
72,50,3-Apr,11,average,human decision maker,human decision maker,0.25
73,50,3-Apr,11,average,human decision maker,human decision maker,0.25
74,45,3-Apr,11,average,human decision maker,human decision maker,0.25
75,50,3-Apr,11,average,human decision maker,human decision maker,0.25
76,45,3-Apr,11,average,human decision maker,human decision maker,0.25
77,27,3-Apr,11,average,human decision maker,human decision maker,0.25
78,28,3-Apr,11,average,human decision maker,human decision maker,0.25
79,45,3-Apr,11,average,human decision maker,human decision maker,0.25
80,23,3-Apr,11,average,human decision maker,human decision maker,0.25
81,67,3-Apr,11,average,human decision maker,human decision maker,0.25
82,50,3-Apr,11,average,human decision maker,human decision maker,0.25
83,50,3-Apr,11,average,human decision maker,human decision maker,0.25
84,27,3-Apr,11,average,human decision maker,human decision maker,0.25
85,50,3-Apr,11,average,human decision maker,human decision maker,0.25
86,27,3-Apr,11,average,human decision maker,human decision maker,0.25
87,28,3-Apr,11,average,human decision maker,human decision maker,0.25
88,50,3-Apr,11,average,human decision maker,human decision maker,0.25
89,50,3-Apr,11,average,human decision maker,human decision maker,0.25
90,50,3-Apr,11,average,human decision maker,human decision maker,0.25
91,45,3-Apr,11,average,human decision maker,human decision maker,0.25
92,27,3-Apr,11,average,human decision maker,human decision maker,0.25
93,27,3-Apr,11,average,human decision maker,human decision maker,0.25
94,45,3-Apr,11,average,human decision maker,human decision maker,0.25
95,50,3-Apr,11,average,human decision maker,human decision maker,0.25
96,50,3-Apr,11,average,human decision maker,human decision maker,0.25
97,50,3-Apr,11,average,human decision maker,human decision maker,0.25
98,27,3-Apr,11,average,human decision maker,human decision maker,0.25
99,23,3-Apr,11,average,human decision maker,human decision maker,0.25
100,50,3-Apr,11,average,human decision maker,human decision maker,0.25
1,22,2-Jan,11,average,human decision maker,human decision maker,0.5
2,22,2-Jan,11,average,human decision maker,human decision maker,0.5
3,22,2-Jan,11,average,human decision maker,human decision maker,0.5
4,17,2-Jan,11,average,human decision maker,human decision maker,0.5
5,15,2-Jan,11,average,human decision maker,human decision maker,0.5
6,15,2-Jan,11,average,human decision maker,human decision maker,0.5
7,22,2-Jan,11,average,human decision maker,human decision maker,0.5
8,17,2-Jan,11,average,human decision maker,human decision maker,0.5
9,17,2-Jan,11,average,human decision maker,human decision maker,0.5
10,17,2-Jan,11,average,human decision maker,human decision maker,0.5
11,17,2-Jan,11,average,human decision maker,human decision maker,0.5
12,15,2-Jan,11,average,human decision maker,human decision maker,0.5
13,22,2-Jan,11,average,human decision maker,human decision maker,0.5
14,22,2-Jan,11,average,human decision maker,human decision maker,0.5
15,17,2-Jan,11,average,human decision maker,human decision maker,0.5
16,22,2-Jan,11,average,human decision maker,human decision maker,0.5
17,17,2-Jan,11,average,human decision maker,human decision maker,0.5
18,17,2-Jan,11,average,human decision maker,human decision maker,0.5
19,17,2-Jan,11,average,human decision maker,human decision maker,0.5
20,22,2-Jan,11,average,human decision maker,human decision maker,0.5
21,17,2-Jan,11,average,human decision maker,human decision maker,0.5
22,15,2-Jan,11,average,human decision maker,human decision maker,0.5
23,17,2-Jan,11,average,human decision maker,human decision maker,0.5
24,15,2-Jan,11,average,human decision maker,human decision maker,0.5
25,22,2-Jan,11,average,human decision maker,human decision maker,0.5
26,22,2-Jan,11,average,human decision maker,human decision maker,0.5
27,17,2-Jan,11,average,human decision maker,human decision maker,0.5
28,17,2-Jan,11,average,human decision maker,human decision maker,0.5
29,17,2-Jan,11,average,human decision maker,human decision maker,0.5
30,22,2-Jan,11,average,human decision maker,human decision maker,0.5
31,22,2-Jan,11,average,human decision maker,human decision maker,0.5
32,33,2-Jan,11,average,human decision maker,human decision maker,0.5
33,22,2-Jan,11,average,human decision maker,human decision maker,0.5
34,22,2-Jan,11,average,human decision maker,human decision maker,0.5
35,17,2-Jan,11,average,human decision maker,human decision maker,0.5
36,33,2-Jan,11,average,human decision maker,human decision maker,0.5
37,17,2-Jan,11,average,human decision maker,human decision maker,0.5
38,17,2-Jan,11,average,human decision maker,human decision maker,0.5
39,33,2-Jan,11,average,human decision maker,human decision maker,0.5
40,17,2-Jan,11,average,human decision maker,human decision maker,0.5
41,15,2-Jan,11,average,human decision maker,human decision maker,0.5
42,17,2-Jan,11,average,human decision maker,human decision maker,0.5
43,17,2-Jan,11,average,human decision maker,human decision maker,0.5
44,22,2-Jan,11,average,human decision maker,human decision maker,0.5
45,22,2-Jan,11,average,human decision maker,human decision maker,0.5
46,17,2-Jan,11,average,human decision maker,human decision maker,0.5
47,17,2-Jan,11,average,human decision maker,human decision maker,0.5
48,17,2-Jan,11,average,human decision maker,human decision maker,0.5
49,22,2-Jan,11,average,human decision maker,human decision maker,0.5
50,17,2-Jan,11,average,human decision maker,human decision maker,0.5
51,17,2-Jan,11,average,human decision maker,human decision maker,0.5
52,17,2-Jan,11,average,human decision maker,human decision maker,0.5
53,17,2-Jan,11,average,human decision maker,human decision maker,0.5
54,17,2-Jan,11,average,human decision maker,human decision maker,0.5
55,22,2-Jan,11,average,human decision maker,human decision maker,0.5
56,22,2-Jan,11,average,human decision maker,human decision maker,0.5
57,22,2-Jan,11,average,human decision maker,human decision maker,0.5
58,17,2-Jan,11,average,human decision maker,human decision maker,0.5
59,15,2-Jan,11,average,human decision maker,human decision maker,0.5
60,17,2-Jan,11,average,human decision maker,human decision maker,0.5
61,17,2-Jan,11,average,human decision maker,human decision maker,0.5
62,22,2-Jan,11,average,human decision maker,human decision maker,0.5
63,22,2-Jan,11,average,human decision maker,human decision maker,0.5
64,33,2-Jan,11,average,human decision maker,human decision maker,0.5
65,17,2-Jan,11,average,human decision maker,human decision maker,0.5
66,17,2-Jan,11,average,human decision maker,human decision maker,0.5
67,22,2-Jan,11,average,human decision maker,human decision maker,0.5
68,17,2-Jan,11,average,human decision maker,human decision maker,0.5
69,17,2-Jan,11,average,human decision maker,human decision maker,0.5
70,17,2-Jan,11,average,human decision maker,human decision maker,0.5
71,17,2-Jan,11,average,human decision maker,human decision maker,0.5
72,17,2-Jan,11,average,human decision maker,human decision maker,0.5
73,17,2-Jan,11,average,human decision maker,human decision maker,0.5
74,17,2-Jan,11,average,human decision maker,human decision maker,0.5
75,17,2-Jan,11,average,human decision maker,human decision maker,0.5
76,17,2-Jan,11,average,human decision maker,human decision maker,0.5
77,22,2-Jan,11,average,human decision maker,human decision maker,0.5
78,22,2-Jan,11,average,human decision maker,human decision maker,0.5
79,17,2-Jan,11,average,human decision maker,human decision maker,0.5
80,22,2-Jan,11,average,human decision maker,human decision maker,0.5
81,22,2-Jan,11,average,human decision maker,human decision maker,0.5
82,33,2-Jan,11,average,human decision maker,human decision maker,0.5
83,17,2-Jan,11,average,human decision maker,human decision maker,0.5
84,22,2-Jan,11,average,human decision maker,human decision maker,0.5
85,17,2-Jan,11,average,human decision maker,human decision maker,0.5
86,22,2-Jan,11,average,human decision maker,human decision maker,0.5
87,22,2-Jan,11,average,human decision maker,human decision maker,0.5
88,15,2-Jan,11,average,human decision maker,human decision maker,0.5
89,22,2-Jan,11,average,human decision maker,human decision maker,0.5
90,17,2-Jan,11,average,human decision maker,human decision maker,0.5
91,33,2-Jan,11,average,human decision maker,human decision maker,0.5
92,17,2-Jan,11,average,human decision maker,human decision maker,0.5
93,17,2-Jan,11,average,human decision maker,human decision maker,0.5
94,22,2-Jan,11,average,human decision maker,human decision maker,0.5
95,17,2-Jan,11,average,human decision maker,human decision maker,0.5
96,17,2-Jan,11,average,human decision maker,human decision maker,0.5
97,22,2-Jan,11,average,human decision maker,human decision maker,0.5
98,33,2-Jan,11,average,human decision maker,human decision maker,0.5
99,17,2-Jan,11,average,human decision maker,human decision maker,0.5
100,15,2-Jan,11,average,human decision maker,human decision maker,0.5
1,22,3-Feb,11,average,human decision maker,human decision maker,0.5
2,22,3-Feb,11,average,human decision maker,human decision maker,0.5
3,22,3-Feb,11,average,human decision maker,human decision maker,0.5
4,22,3-Feb,11,average,human decision maker,human decision maker,0.5
5,22,3-Feb,11,average,human decision maker,human decision maker,0.5
6,22,3-Feb,11,average,human decision maker,human decision maker,0.5
7,22,3-Feb,11,average,human decision maker,human decision maker,0.5
8,22,3-Feb,11,average,human decision maker,human decision maker,0.5
9,22,3-Feb,11,average,human decision maker,human decision maker,0.5
10,22,3-Feb,11,average,human decision maker,human decision maker,0.5
11,22,3-Feb,11,average,human decision maker,human decision maker,0.5
12,22,3-Feb,11,average,human decision maker,human decision maker,0.5
13,22,3-Feb,11,average,human decision maker,human decision maker,0.5
14,22,3-Feb,11,average,human decision maker,human decision maker,0.5
15,22,3-Feb,11,average,human decision maker,human decision maker,0.5
16,22,3-Feb,11,average,human decision maker,human decision maker,0.5
17,22,3-Feb,11,average,human decision maker,human decision maker,0.5
18,22,3-Feb,11,average,human decision maker,human decision maker,0.5
19,22,3-Feb,11,average,human decision maker,human decision maker,0.5
20,22,3-Feb,11,average,human decision maker,human decision maker,0.5
21,22,3-Feb,11,average,human decision maker,human decision maker,0.5
22,22,3-Feb,11,average,human decision maker,human decision maker,0.5
23,22,3-Feb,11,average,human decision maker,human decision maker,0.5
24,22,3-Feb,11,average,human decision maker,human decision maker,0.5
25,22,3-Feb,11,average,human decision maker,human decision maker,0.5
26,22,3-Feb,11,average,human decision maker,human decision maker,0.5
27,22,3-Feb,11,average,human decision maker,human decision maker,0.5
28,22,3-Feb,11,average,human decision maker,human decision maker,0.5
29,22,3-Feb,11,average,human decision maker,human decision maker,0.5
30,22,3-Feb,11,average,human decision maker,human decision maker,0.5
31,22,3-Feb,11,average,human decision maker,human decision maker,0.5
32,22,3-Feb,11,average,human decision maker,human decision maker,0.5
33,22,3-Feb,11,average,human decision maker,human decision maker,0.5
34,22,3-Feb,11,average,human decision maker,human decision maker,0.5
35,22,3-Feb,11,average,human decision maker,human decision maker,0.5
36,22,3-Feb,11,average,human decision maker,human decision maker,0.5
37,22,3-Feb,11,average,human decision maker,human decision maker,0.5
38,22,3-Feb,11,average,human decision maker,human decision maker,0.5
39,22,3-Feb,11,average,human decision maker,human decision maker,0.5
40,22,3-Feb,11,average,human decision maker,human decision maker,0.5
41,22,3-Feb,11,average,human decision maker,human decision maker,0.5
42,22,3-Feb,11,average,human decision maker,human decision maker,0.5
43,22,3-Feb,11,average,human decision maker,human decision maker,0.5
44,22,3-Feb,11,average,human decision maker,human decision maker,0.5
45,22,3-Feb,11,average,human decision maker,human decision maker,0.5
46,22,3-Feb,11,average,human decision maker,human decision maker,0.5
47,22,3-Feb,11,average,human decision maker,human decision maker,0.5
48,22,3-Feb,11,average,human decision maker,human decision maker,0.5
49,22,3-Feb,11,average,human decision maker,human decision maker,0.5
50,22,3-Feb,11,average,human decision maker,human decision maker,0.5
51,22,3-Feb,11,average,human decision maker,human decision maker,0.5
52,22,3-Feb,11,average,human decision maker,human decision maker,0.5
53,22,3-Feb,11,average,human decision maker,human decision maker,0.5
54,22,3-Feb,11,average,human decision maker,human decision maker,0.5
55,22,3-Feb,11,average,human decision maker,human decision maker,0.5
56,22,3-Feb,11,average,human decision maker,human decision maker,0.5
57,22,3-Feb,11,average,human decision maker,human decision maker,0.5
58,22,3-Feb,11,average,human decision maker,human decision maker,0.5
59,22,3-Feb,11,average,human decision maker,human decision maker,0.5
60,22,3-Feb,11,average,human decision maker,human decision maker,0.5
61,22,3-Feb,11,average,human decision maker,human decision maker,0.5
62,22,3-Feb,11,average,human decision maker,human decision maker,0.5
63,22,3-Feb,11,average,human decision maker,human decision maker,0.5
64,22,3-Feb,11,average,human decision maker,human decision maker,0.5
65,22,3-Feb,11,average,human decision maker,human decision maker,0.5
