,subject,response,p_val,size,avg,act_as,play_against,temp
85,85,30,2-Jan,11,average,human decision maker,human decision maker,0.25
86,86,22,2-Jan,11,average,human decision maker,human decision maker,0.25
87,87,35,2-Jan,11,average,human decision maker,human decision maker,0.25
88,88,25,2-Jan,11,average,human decision maker,human decision maker,0.25
89,89,30,2-Jan,11,average,human decision maker,human decision maker,0.25
90,90,20,2-Jan,11,average,human decision maker,human decision maker,0.25
91,91,22,2-Jan,11,average,human decision maker,human decision maker,0.25
92,92,22,2-Jan,11,average,human decision maker,human decision maker,0.25
93,93,25,2-Jan,11,average,human decision maker,human decision maker,0.25
94,94,22,2-Jan,11,average,human decision maker,human decision maker,0.25
95,95,22,2-Jan,11,average,human decision maker,human decision maker,0.25
96,96,22,2-Jan,11,average,human decision maker,human decision maker,0.25
97,97,22,2-Jan,11,average,human decision maker,human decision maker,0.25
98,98,22,2-Jan,11,average,human decision maker,human decision maker,0.25
99,99,22,2-Jan,11,average,human decision maker,human decision maker,0.25
100,100,22,2-Jan,11,average,human decision maker,human decision maker,0.25
101,1,22,3-Feb,11,average,human decision maker,human decision maker,0.25
102,2,22,3-Feb,11,average,human decision maker,human decision maker,0.25
103,3,33,3-Feb,11,average,human decision maker,human decision maker,0.25
104,4,22,3-Feb,11,average,human decision maker,human decision maker,0.25
105,5,33,3-Feb,11,average,human decision maker,human decision maker,0.25
106,6,22,3-Feb,11,average,human decision maker,human decision maker,0.25
107,7,22,3-Feb,11,average,human decision maker,human decision maker,0.25
108,8,22,3-Feb,11,average,human decision maker,human decision maker,0.25
109,9,22,3-Feb,11,average,human decision maker,human decision maker,0.25
110,10,22,3-Feb,11,average,human decision maker,human decision maker,0.25
111,11,33,3-Feb,11,average,human decision maker,human decision maker,0.25
112,12,22,3-Feb,11,average,human decision maker,human decision maker,0.25
113,13,33,3-Feb,11,average,human decision maker,human decision maker,0.25
114,14,22,3-Feb,11,average,human decision maker,human decision maker,0.25
115,15,22,3-Feb,11,average,human decision maker,human decision maker,0.25
116,16,22,3-Feb,11,average,human decision maker,human decision maker,0.25
117,17,33,3-Feb,11,average,human decision maker,human decision maker,0.25
118,18,22,3-Feb,11,average,human decision maker,human decision maker,0.25
119,19,22,3-Feb,11,average,human decision maker,human decision maker,0.25
120,20,22,3-Feb,11,average,human decision maker,human decision maker,0.25
121,21,22,3-Feb,11,average,human decision maker,human decision maker,0.25
122,22,22,3-Feb,11,average,human decision maker,human decision maker,0.25
123,23,22,3-Feb,11,average,human decision maker,human decision maker,0.25
124,24,22,3-Feb,11,average,human decision maker,human decision maker,0.25
125,25,22,3-Feb,11,average,human decision maker,human decision maker,0.25
126,26,33,3-Feb,11,average,human decision maker,human decision maker,0.25
127,27,22,3-Feb,11,average,human decision maker,human decision maker,0.25
128,28,22,3-Feb,11,average,human decision maker,human decision maker,0.25
129,29,22,3-Feb,11,average,human decision maker,human decision maker,0.25
130,30,22,3-Feb,11,average,human decision maker,human decision maker,0.25
131,31,22,3-Feb,11,average,human decision maker,human decision maker,0.25
132,32,22,3-Feb,11,average,human decision maker,human decision maker,0.25
133,33,22,3-Feb,11,average,human decision maker,human decision maker,0.25
134,34,22,3-Feb,11,average,human decision maker,human decision maker,0.25
135,35,22,3-Feb,11,average,human decision maker,human decision maker,0.25
136,36,22,3-Feb,11,average,human decision maker,human decision maker,0.25
137,37,22,3-Feb,11,average,human decision maker,human decision maker,0.25
138,38,22,3-Feb,11,average,human decision maker,human decision maker,0.25
139,39,33,3-Feb,11,average,human decision maker,human decision maker,0.25
140,40,22,3-Feb,11,average,human decision maker,human decision maker,0.25
141,41,22,3-Feb,11,average,human decision maker,human decision maker,0.25
142,42,22,3-Feb,11,average,human decision maker,human decision maker,0.25
143,43,22,3-Feb,11,average,human decision maker,human decision maker,0.25
144,44,22,3-Feb,11,average,human decision maker,human decision maker,0.25
145,45,22,3-Feb,11,average,human decision maker,human decision maker,0.25
146,46,33,3-Feb,11,average,human decision maker,human decision maker,0.25
147,47,22,3-Feb,11,average,human decision maker,human decision maker,0.25
148,48,22,3-Feb,11,average,human decision maker,human decision maker,0.25
149,49,22,3-Feb,11,average,human decision maker,human decision maker,0.25
150,50,22,3-Feb,11,average,human decision maker,human decision maker,0.25
151,51,22,3-Feb,11,average,human decision maker,human decision maker,0.25
152,52,22,3-Feb,11,average,human decision maker,human decision maker,0.25
153,53,22,3-Feb,11,average,human decision maker,human decision maker,0.25
154,54,22,3-Feb,11,average,human decision maker,human decision maker,0.25
155,55,22,3-Feb,11,average,human decision maker,human decision maker,0.25
156,56,22,3-Feb,11,average,human decision maker,human decision maker,0.25
157,57,22,3-Feb,11,average,human decision maker,human decision maker,0.25
158,58,22,3-Feb,11,average,human decision maker,human decision maker,0.25
159,59,22,3-Feb,11,average,human decision maker,human decision maker,0.25
160,60,33,3-Feb,11,average,human decision maker,human decision maker,0.25
161,61,22,3-Feb,11,average,human decision maker,human decision maker,0.25
162,62,22,3-Feb,11,average,human decision maker,human decision maker,0.25
163,63,22,3-Feb,11,average,human decision maker,human decision maker,0.25
164,64,22,3-Feb,11,average,human decision maker,human decision maker,0.25
165,65,33,3-Feb,11,average,human decision maker,human decision maker,0.25
166,66,22,3-Feb,11,average,human decision maker,human decision maker,0.25
167,67,22,3-Feb,11,average,human decision maker,human decision maker,0.25
168,68,22,3-Feb,11,average,human decision maker,human decision maker,0.25
169,69,22,3-Feb,11,average,human decision maker,human decision maker,0.25
170,70,22,3-Feb,11,average,human decision maker,human decision maker,0.25
171,71,22,3-Feb,11,average,human decision maker,human decision maker,0.25
172,72,22,3-Feb,11,average,human decision maker,human decision maker,0.25
173,73,22,3-Feb,11,average,human decision maker,human decision maker,0.25
174,74,22,3-Feb,11,average,human decision maker,human decision maker,0.25
175,75,22,3-Feb,11,average,human decision maker,human decision maker,0.25
176,76,22,3-Feb,11,average,human decision maker,human decision maker,0.25
177,77,22,3-Feb,11,average,human decision maker,human decision maker,0.25
178,78,22,3-Feb,11,average,human decision maker,human decision maker,0.25
179,79,22,3-Feb,11,average,human decision maker,human decision maker,0.25
180,80,22,3-Feb,11,average,human decision maker,human decision maker,0.25
181,81,22,3-Feb,11,average,human decision maker,human decision maker,0.25
182,82,33,3-Feb,11,average,human decision maker,human decision maker,0.25
183,83,22,3-Feb,11,average,human decision maker,human decision maker,0.25
184,84,30,3-Feb,11,average,human decision maker,human decision maker,0.25
185,85,33,3-Feb,11,average,human decision maker,human decision maker,0.25
186,86,22,3-Feb,11,average,human decision maker,human decision maker,0.25
187,87,22,3-Feb,11,average,human decision maker,human decision maker,0.25
188,88,33,3-Feb,11,average,human decision maker,human decision maker,0.25
189,89,33,3-Feb,11,average,human decision maker,human decision maker,0.25
190,90,33,3-Feb,11,average,human decision maker,human decision maker,0.25
191,91,22,3-Feb,11,average,human decision maker,human decision maker,0.25
192,92,22,3-Feb,11,average,human decision maker,human decision maker,0.25
193,93,22,3-Feb,11,average,human decision maker,human decision maker,0.25
194,94,22,3-Feb,11,average,human decision maker,human decision maker,0.25
195,95,22,3-Feb,11,average,human decision maker,human decision maker,0.25
196,96,22,3-Feb,11,average,human decision maker,human decision maker,0.25
197,97,22,3-Feb,11,average,human decision maker,human decision maker,0.25
198,98,22,3-Feb,11,average,human decision maker,human decision maker,0.25
199,99,22,3-Feb,11,average,human decision maker,human decision maker,0.25
200,100,22,3-Feb,11,average,human decision maker,human decision maker,0.25
201,1,50,3-Apr,11,average,human decision maker,human decision maker,0.25
202,2,33,3-Apr,11,average,human decision maker,human decision maker,0.25
203,3,50,3-Apr,11,average,human decision maker,human decision maker,0.25
204,4,50,3-Apr,11,average,human decision maker,human decision maker,0.25
205,5,50,3-Apr,11,average,human decision maker,human decision maker,0.25
206,6,50,3-Apr,11,average,human decision maker,human decision maker,0.25
207,7,33,3-Apr,11,average,human decision maker,human decision maker,0.25
208,8,50,3-Apr,11,average,human decision maker,human decision maker,0.25
209,9,50,3-Apr,11,average,human decision maker,human decision maker,0.25
210,10,50,3-Apr,11,average,human decision maker,human decision maker,0.25
211,11,50,3-Apr,11,average,human decision maker,human decision maker,0.25
212,12,33,3-Apr,11,average,human decision maker,human decision maker,0.25
213,13,50,3-Apr,11,average,human decision maker,human decision maker,0.25
214,14,30,3-Apr,11,average,human decision maker,human decision maker,0.25
215,15,33,3-Apr,11,average,human decision maker,human decision maker,0.25
216,16,50,3-Apr,11,average,human decision maker,human decision maker,0.25
217,17,50,3-Apr,11,average,human decision maker,human decision maker,0.25
218,18,50,3-Apr,11,average,human decision maker,human decision maker,0.25
219,19,33,3-Apr,11,average,human decision maker,human decision maker,0.25
220,20,50,3-Apr,11,average,human decision maker,human decision maker,0.25
221,21,33,3-Apr,11,average,human decision maker,human decision maker,0.25
222,22,50,3-Apr,11,average,human decision maker,human decision maker,0.25
223,23,50,3-Apr,11,average,human decision maker,human decision maker,0.25
224,24,33,3-Apr,11,average,human decision maker,human decision maker,0.25
225,25,50,3-Apr,11,average,human decision maker,human decision maker,0.25
226,26,50,3-Apr,11,average,human decision maker,human decision maker,0.25
227,27,33,3-Apr,11,average,human decision maker,human decision maker,0.25
228,28,50,3-Apr,11,average,human decision maker,human decision maker,0.25
229,29,33,3-Apr,11,average,human decision maker,human decision maker,0.25
230,30,50,3-Apr,11,average,human decision maker,human decision maker,0.25
231,31,50,3-Apr,11,average,human decision maker,human decision maker,0.25
232,32,50,3-Apr,11,average,human decision maker,human decision maker,0.25
233,33,50,3-Apr,11,average,human decision maker,human decision maker,0.25
234,34,33,3-Apr,11,average,human decision maker,human decision maker,0.25
235,35,33,3-Apr,11,average,human decision maker,human decision maker,0.25
236,36,50,3-Apr,11,average,human decision maker,human decision maker,0.25
237,37,35,3-Apr,11,average,human decision maker,human decision maker,0.25
238,38,33,3-Apr,11,average,human decision maker,human decision maker,0.25
239,39,50,3-Apr,11,average,human decision maker,human decision maker,0.25
240,40,33,3-Apr,11,average,human decision maker,human decision maker,0.25
241,41,50,3-Apr,11,average,human decision maker,human decision maker,0.25
242,42,50,3-Apr,11,average,human decision maker,human decision maker,0.25
243,43,33,3-Apr,11,average,human decision maker,human decision maker,0.25
244,44,50,3-Apr,11,average,human decision maker,human decision maker,0.25
245,45,50,3-Apr,11,average,human decision maker,human decision maker,0.25
246,46,37,3-Apr,11,average,human decision maker,human decision maker,0.25
247,47,50,3-Apr,11,average,human decision maker,human decision maker,0.25
248,48,50,3-Apr,11,average,human decision maker,human decision maker,0.25
249,49,50,3-Apr,11,average,human decision maker,human decision maker,0.25
250,50,33,3-Apr,11,average,human decision maker,human decision maker,0.25
251,51,33,3-Apr,11,average,human decision maker,human decision maker,0.25
252,52,50,3-Apr,11,average,human decision maker,human decision maker,0.25
253,53,50,3-Apr,11,average,human decision maker,human decision maker,0.25
254,54,50,3-Apr,11,average,human decision maker,human decision maker,0.25
255,55,50,3-Apr,11,average,human decision maker,human decision maker,0.25
256,56,33,3-Apr,11,average,human decision maker,human decision maker,0.25
257,57,50,3-Apr,11,average,human decision maker,human decision maker,0.25
258,58,50,3-Apr,11,average,human decision maker,human decision maker,0.25
259,59,50,3-Apr,11,average,human decision maker,human decision maker,0.25
260,60,50,3-Apr,11,average,human decision maker,human decision maker,0.25
261,61,50,3-Apr,11,average,human decision maker,human decision maker,0.25
262,62,33,3-Apr,11,average,human decision maker,human decision maker,0.25
263,63,50,3-Apr,11,average,human decision maker,human decision maker,0.25
264,64,50,3-Apr,11,average,human decision maker,human decision maker,0.25
265,65,33,3-Apr,11,average,human decision maker,human decision maker,0.25
266,66,33,3-Apr,11,average,human decision maker,human decision maker,0.25
267,67,33,3-Apr,11,average,human decision maker,human decision maker,0.25
268,68,33,3-Apr,11,average,human decision maker,human decision maker,0.25
269,69,50,3-Apr,11,average,human decision maker,human decision maker,0.25
270,70,33,3-Apr,11,average,human decision maker,human decision maker,0.25
271,71,50,3-Apr,11,average,human decision maker,human decision maker,0.25
272,72,33,3-Apr,11,average,human decision maker,human decision maker,0.25
273,73,50,3-Apr,11,average,human decision maker,human decision maker,0.25
274,74,50,3-Apr,11,average,human decision maker,human decision maker,0.25
275,75,33,3-Apr,11,average,human decision maker,human decision maker,0.25
276,76,50,3-Apr,11,average,human decision maker,human decision maker,0.25
277,77,33,3-Apr,11,average,human decision maker,human decision maker,0.25
278,78,33,3-Apr,11,average,human decision maker,human decision maker,0.25
279,79,50,3-Apr,11,average,human decision maker,human decision maker,0.25
280,80,50,3-Apr,11,average,human decision maker,human decision maker,0.25
281,81,50,3-Apr,11,average,human decision maker,human decision maker,0.25
282,82,33,3-Apr,11,average,human decision maker,human decision maker,0.25
283,83,50,3-Apr,11,average,human decision maker,human decision maker,0.25
284,84,50,3-Apr,11,average,human decision maker,human decision maker,0.25
285,85,50,3-Apr,11,average,human decision maker,human decision maker,0.25
286,86,50,3-Apr,11,average,human decision maker,human decision maker,0.25
287,87,22,3-Apr,11,average,human decision maker,human decision maker,0.25
288,88,50,3-Apr,11,average,human decision maker,human decision maker,0.25
289,89,50,3-Apr,11,average,human decision maker,human decision maker,0.25
290,90,50,3-Apr,11,average,human decision maker,human decision maker,0.25
291,91,48,3-Apr,11,average,human decision maker,human decision maker,0.25
292,92,35,3-Apr,11,average,human decision maker,human decision maker,0.25
293,93,33,3-Apr,11,average,human decision maker,human decision maker,0.25
294,94,33,3-Apr,11,average,human decision maker,human decision maker,0.25
295,95,50,3-Apr,11,average,human decision maker,human decision maker,0.25
296,96,50,3-Apr,11,average,human decision maker,human decision maker,0.25
297,97,50,3-Apr,11,average,human decision maker,human decision maker,0.25
298,98,33,3-Apr,11,average,human decision maker,human decision maker,0.25
299,99,50,3-Apr,11,average,human decision maker,human decision maker,0.25
300,100,33,3-Apr,11,average,human decision maker,human decision maker,0.25
301,1,22,2-Jan,11,average,human decision maker,human decision maker,0.5
302,2,21,2-Jan,11,average,human decision maker,human decision maker,0.5
303,3,22,2-Jan,11,average,human decision maker,human decision maker,0.5
304,4,22,2-Jan,11,average,human decision maker,human decision maker,0.5
305,5,22,2-Jan,11,average,human decision maker,human decision maker,0.5
306,6,30,2-Jan,11,average,human decision maker,human decision maker,0.5
307,7,22,2-Jan,11,average,human decision maker,human decision maker,0.5
308,8,35,2-Jan,11,average,human decision maker,human decision maker,0.5
309,9,24,2-Jan,11,average,human decision maker,human decision maker,0.5
310,10,22,2-Jan,11,average,human decision maker,human decision maker,0.5
311,11,22,2-Jan,11,average,human decision maker,human decision maker,0.5
312,12,25,2-Jan,11,average,human decision maker,human decision maker,0.5
313,13,25,2-Jan,11,average,human decision maker,human decision maker,0.5
314,14,22,2-Jan,11,average,human decision maker,human decision maker,0.5
315,15,22,2-Jan,11,average,human decision maker,human decision maker,0.5
316,16,22,2-Jan,11,average,human decision maker,human decision maker,0.5
317,17,22,2-Jan,11,average,human decision maker,human decision maker,0.5
318,18,33,2-Jan,11,average,human decision maker,human decision maker,0.5
319,19,30,2-Jan,11,average,human decision maker,human decision maker,0.5
320,20,37,2-Jan,11,average,human decision maker,human decision maker,0.5
321,21,22,2-Jan,11,average,human decision maker,human decision maker,0.5
322,22,30,2-Jan,11,average,human decision maker,human decision maker,0.5
323,23,33,2-Jan,11,average,human decision maker,human decision maker,0.5
324,24,22,2-Jan,11,average,human decision maker,human decision maker,0.5
325,25,22,2-Jan,11,average,human decision maker,human decision maker,0.5
326,26,25,2-Jan,11,average,human decision maker,human decision maker,0.5
327,27,35,2-Jan,11,average,human decision maker,human decision maker,0.5
328,28,35,2-Jan,11,average,human decision maker,human decision maker,0.5
329,29,22,2-Jan,11,average,human decision maker,human decision maker,0.5
330,30,35,2-Jan,11,average,human decision maker,human decision maker,0.5
331,31,33,2-Jan,11,average,human decision maker,human decision maker,0.5
332,32,22,2-Jan,11,average,human decision maker,human decision maker,0.5
333,33,30,2-Jan,11,average,human decision maker,human decision maker,0.5
334,34,25,2-Jan,11,average,human decision maker,human decision maker,0.5
335,35,25,2-Jan,11,average,human decision maker,human decision maker,0.5
336,36,22,2-Jan,11,average,human decision maker,human decision maker,0.5
337,37,30,2-Jan,11,average,human decision maker,human decision maker,0.5
338,38,33,2-Jan,11,average,human decision maker,human decision maker,0.5
339,39,33,2-Jan,11,average,human decision maker,human decision maker,0.5
340,40,22,2-Jan,11,average,human decision maker,human decision maker,0.5
341,41,22,2-Jan,11,average,human decision maker,human decision maker,0.5
342,42,22,2-Jan,11,average,human decision maker,human decision maker,0.5
343,43,33,2-Jan,11,average,human decision maker,human decision maker,0.5
344,44,35,2-Jan,11,average,human decision maker,human decision maker,0.5
345,45,30,2-Jan,11,average,human decision maker,human decision maker,0.5
346,46,25,2-Jan,11,average,human decision maker,human decision maker,0.5
347,47,35,2-Jan,11,average,human decision maker,human decision maker,0.5
348,48,25,2-Jan,11,average,human decision maker,human decision maker,0.5
349,49,27,2-Jan,11,average,human decision maker,human decision maker,0.5
350,50,35,2-Jan,11,average,human decision maker,human decision maker,0.5
351,51,22,2-Jan,11,average,human decision maker,human decision maker,0.5
352,52,32,2-Jan,11,average,human decision maker,human decision maker,0.5
353,53,22,2-Jan,11,average,human decision maker,human decision maker,0.5
354,54,22,2-Jan,11,average,human decision maker,human decision maker,0.5
355,55,33,2-Jan,11,average,human decision maker,human decision maker,0.5
356,56,30,2-Jan,11,average,human decision maker,human decision maker,0.5
357,57,35,2-Jan,11,average,human decision maker,human decision maker,0.5
358,58,22,2-Jan,11,average,human decision maker,human decision maker,0.5
359,59,30,2-Jan,11,average,human decision maker,human decision maker,0.5
360,60,25,2-Jan,11,average,human decision maker,human decision maker,0.5
361,61,35,2-Jan,11,average,human decision maker,human decision maker,0.5
362,62,25,2-Jan,11,average,human decision maker,human decision maker,0.5
363,63,25,2-Jan,11,average,human decision maker,human decision maker,0.5
364,64,22,2-Jan,11,average,human decision maker,human decision maker,0.5
365,65,25,2-Jan,11,average,human decision maker,human decision maker,0.5
366,66,33,2-Jan,11,average,human decision maker,human decision maker,0.5
367,67,23,2-Jan,11,average,human decision maker,human decision maker,0.5
368,68,25,2-Jan,11,average,human decision maker,human decision maker,0.5
369,69,33,2-Jan,11,average,human decision maker,human decision maker,0.5
370,70,22,2-Jan,11,average,human decision maker,human decision maker,0.5
371,71,35,2-Jan,11,average,human decision maker,human decision maker,0.5
372,72,22,2-Jan,11,average,human decision maker,human decision maker,0.5
373,73,22,2-Jan,11,average,human decision maker,human decision maker,0.5
374,74,33,2-Jan,11,average,human decision maker,human decision maker,0.5
375,75,33,2-Jan,11,average,human decision maker,human decision maker,0.5
376,76,33,2-Jan,11,average,human decision maker,human decision maker,0.5
377,77,35,2-Jan,11,average,human decision maker,human decision maker,0.5
378,78,32,2-Jan,11,average,human decision maker,human decision maker,0.5
379,79,22,2-Jan,11,average,human decision maker,human decision maker,0.5
380,80,22,2-Jan,11,average,human decision maker,human decision maker,0.5
381,81,22,2-Jan,11,average,human decision maker,human decision maker,0.5
382,82,22,2-Jan,11,average,human decision maker,human decision maker,0.5
383,83,22,2-Jan,11,average,human decision maker,human decision maker,0.5
384,84,34,2-Jan,11,average,human decision maker,human decision maker,0.5
385,85,25,2-Jan,11,average,human decision maker,human decision maker,0.5
386,86,33,2-Jan,11,average,human decision maker,human decision maker,0.5
387,87,33,2-Jan,11,average,human decision maker,human decision maker,0.5
388,88,22,2-Jan,11,average,human decision maker,human decision maker,0.5
389,89,22,2-Jan,11,average,human decision maker,human decision maker,0.5
390,90,23,2-Jan,11,average,human decision maker,human decision maker,0.5
391,91,25,2-Jan,11,average,human decision maker,human decision maker,0.5
392,92,30,2-Jan,11,average,human decision maker,human decision maker,0.5
393,93,22,2-Jan,11,average,human decision maker,human decision maker,0.5
394,94,25,2-Jan,11,average,human decision maker,human decision maker,0.5
395,95,22,2-Jan,11,average,human decision maker,human decision maker,0.5
396,96,35,2-Jan,11,average,human decision maker,human decision maker,0.5
397,97,22,2-Jan,11,average,human decision maker,human decision maker,0.5
398,98,25,2-Jan,11,average,human decision maker,human decision maker,0.5
399,99,33,2-Jan,11,average,human decision maker,human decision maker,0.5
400,100,22,2-Jan,11,average,human decision maker,human decision maker,0.5
401,1,33,3-Feb,11,average,human decision maker,human decision maker,0.5
402,2,23,3-Feb,11,average,human decision maker,human decision maker,0.5
403,3,22,3-Feb,11,average,human decision maker,human decision maker,0.5
404,4,33,3-Feb,11,average,human decision maker,human decision maker,0.5
405,5,33,3-Feb,11,average,human decision maker,human decision maker,0.5
406,6,22,3-Feb,11,average,human decision maker,human decision maker,0.5
407,7,33,3-Feb,11,average,human decision maker,human decision maker,0.5
408,8,21,3-Feb,11,average,human decision maker,human decision maker,0.5
409,9,22,3-Feb,11,average,human decision maker,human decision maker,0.5
410,10,22,3-Feb,11,average,human decision maker,human decision maker,0.5
411,11,22,3-Feb,11,average,human decision maker,human decision maker,0.5
412,12,33,3-Feb,11,average,human decision maker,human decision maker,0.5
413,13,22,3-Feb,11,average,human decision maker,human decision maker,0.5
414,14,22,3-Feb,11,average,human decision maker,human decision maker,0.5
415,15,22,3-Feb,11,average,human decision maker,human decision maker,0.5
416,16,30,3-Feb,11,average,human decision maker,human decision maker,0.5
417,17,33,3-Feb,11,average,human decision maker,human decision maker,0.5
418,18,22,3-Feb,11,average,human decision maker,human decision maker,0.5
419,19,22,3-Feb,11,average,human decision maker,human decision maker,0.5
420,20,23,3-Feb,11,average,human decision maker,human decision maker,0.5
421,21,33,3-Feb,11,average,human decision maker,human decision maker,0.5
422,22,19,3-Feb,11,average,human decision maker,human decision maker,0.5
423,23,33,3-Feb,11,average,human decision maker,human decision maker,0.5
424,24,22,3-Feb,11,average,human decision maker,human decision maker,0.5
425,25,22,3-Feb,11,average,human decision maker,human decision maker,0.5
426,26,22,3-Feb,11,average,human decision maker,human decision maker,0.5
427,27,22,3-Feb,11,average,human decision maker,human decision maker,0.5
428,28,33,3-Feb,11,average,human decision maker,human decision maker,0.5
429,29,22,3-Feb,11,average,human decision maker,human decision maker,0.5
430,30,33,3-Feb,11,average,human decision maker,human decision maker,0.5
431,31,22,3-Feb,11,average,human decision maker,human decision maker,0.5
432,32,33,3-Feb,11,average,human decision maker,human decision maker,0.5
433,33,22,3-Feb,11,average,human decision maker,human decision maker,0.5
434,34,45,3-Feb,11,average,human decision maker,human decision maker,0.5
435,35,22,3-Feb,11,average,human decision maker,human decision maker,0.5
