subject,response,p_val,size,avg,act_as,play_against,temp
85,40,3-Feb,2,average,human decision maker,human decision maker,0.5
86,40,3-Feb,2,average,human decision maker,human decision maker,0.5
87,40,3-Feb,2,average,human decision maker,human decision maker,0.5
88,40,3-Feb,2,average,human decision maker,human decision maker,0.5
89,40,3-Feb,2,average,human decision maker,human decision maker,0.5
90,40,3-Feb,2,average,human decision maker,human decision maker,0.5
91,40,3-Feb,2,average,human decision maker,human decision maker,0.5
92,40,3-Feb,2,average,human decision maker,human decision maker,0.5
93,40,3-Feb,2,average,human decision maker,human decision maker,0.5
94,40,3-Feb,2,average,human decision maker,human decision maker,0.5
95,40,3-Feb,2,average,human decision maker,human decision maker,0.5
96,40,3-Feb,2,average,human decision maker,human decision maker,0.5
97,40,3-Feb,2,average,human decision maker,human decision maker,0.5
98,40,3-Feb,2,average,human decision maker,human decision maker,0.5
99,40,3-Feb,2,average,human decision maker,human decision maker,0.5
100,40,3-Feb,2,average,human decision maker,human decision maker,0.5
1,40,3-Feb,2,average,human decision maker,human decision maker,0.25
2,40,3-Feb,2,average,human decision maker,human decision maker,0.25
3,40,3-Feb,2,average,human decision maker,human decision maker,0.25
4,40,3-Feb,2,average,human decision maker,human decision maker,0.25
5,40,3-Feb,2,average,human decision maker,human decision maker,0.25
6,40,3-Feb,2,average,human decision maker,human decision maker,0.25
7,40,3-Feb,2,average,human decision maker,human decision maker,0.25
8,40,3-Feb,2,average,human decision maker,human decision maker,0.25
9,40,3-Feb,2,average,human decision maker,human decision maker,0.25
10,40,3-Feb,2,average,human decision maker,human decision maker,0.25
11,40,3-Feb,2,average,human decision maker,human decision maker,0.25
12,40,3-Feb,2,average,human decision maker,human decision maker,0.25
13,40,3-Feb,2,average,human decision maker,human decision maker,0.25
14,40,3-Feb,2,average,human decision maker,human decision maker,0.25
15,40,3-Feb,2,average,human decision maker,human decision maker,0.25
16,40,3-Feb,2,average,human decision maker,human decision maker,0.25
17,40,3-Feb,2,average,human decision maker,human decision maker,0.25
18,40,3-Feb,2,average,human decision maker,human decision maker,0.25
19,40,3-Feb,2,average,human decision maker,human decision maker,0.25
20,40,3-Feb,2,average,human decision maker,human decision maker,0.25
21,40,3-Feb,2,average,human decision maker,human decision maker,0.25
22,40,3-Feb,2,average,human decision maker,human decision maker,0.25
23,40,3-Feb,2,average,human decision maker,human decision maker,0.25
24,40,3-Feb,2,average,human decision maker,human decision maker,0.25
25,40,3-Feb,2,average,human decision maker,human decision maker,0.25
26,40,3-Feb,2,average,human decision maker,human decision maker,0.25
27,40,3-Feb,2,average,human decision maker,human decision maker,0.25
28,40,3-Feb,2,average,human decision maker,human decision maker,0.25
29,40,3-Feb,2,average,human decision maker,human decision maker,0.25
30,40,3-Feb,2,average,human decision maker,human decision maker,0.25
31,40,3-Feb,2,average,human decision maker,human decision maker,0.25
32,40,3-Feb,2,average,human decision maker,human decision maker,0.25
33,40,3-Feb,2,average,human decision maker,human decision maker,0.25
34,40,3-Feb,2,average,human decision maker,human decision maker,0.25
35,40,3-Feb,2,average,human decision maker,human decision maker,0.25
36,40,3-Feb,2,average,human decision maker,human decision maker,0.25
37,40,3-Feb,2,average,human decision maker,human decision maker,0.25
38,40,3-Feb,2,average,human decision maker,human decision maker,0.25
39,40,3-Feb,2,average,human decision maker,human decision maker,0.25
40,40,3-Feb,2,average,human decision maker,human decision maker,0.25
41,40,3-Feb,2,average,human decision maker,human decision maker,0.25
42,40,3-Feb,2,average,human decision maker,human decision maker,0.25
43,40,3-Feb,2,average,human decision maker,human decision maker,0.25
44,40,3-Feb,2,average,human decision maker,human decision maker,0.25
45,40,3-Feb,2,average,human decision maker,human decision maker,0.25
46,40,3-Feb,2,average,human decision maker,human decision maker,0.25
47,40,3-Feb,2,average,human decision maker,human decision maker,0.25
48,40,3-Feb,2,average,human decision maker,human decision maker,0.25
49,40,3-Feb,2,average,human decision maker,human decision maker,0.25
50,40,3-Feb,2,average,human decision maker,human decision maker,0.25
51,40,3-Feb,2,average,human decision maker,human decision maker,0.25
52,40,3-Feb,2,average,human decision maker,human decision maker,0.25
53,40,3-Feb,2,average,human decision maker,human decision maker,0.25
54,40,3-Feb,2,average,human decision maker,human decision maker,0.25
55,40,3-Feb,2,average,human decision maker,human decision maker,0.25
56,40,3-Feb,2,average,human decision maker,human decision maker,0.25
57,40,3-Feb,2,average,human decision maker,human decision maker,0.25
58,40,3-Feb,2,average,human decision maker,human decision maker,0.25
59,40,3-Feb,2,average,human decision maker,human decision maker,0.25
60,40,3-Feb,2,average,human decision maker,human decision maker,0.25
61,40,3-Feb,2,average,human decision maker,human decision maker,0.25
62,40,3-Feb,2,average,human decision maker,human decision maker,0.25
63,40,3-Feb,2,average,human decision maker,human decision maker,0.25
64,40,3-Feb,2,average,human decision maker,human decision maker,0.25
65,40,3-Feb,2,average,human decision maker,human decision maker,0.25
66,40,3-Feb,2,average,human decision maker,human decision maker,0.25
67,40,3-Feb,2,average,human decision maker,human decision maker,0.25
68,40,3-Feb,2,average,human decision maker,human decision maker,0.25
69,40,3-Feb,2,average,human decision maker,human decision maker,0.25
70,40,3-Feb,2,average,human decision maker,human decision maker,0.25
71,40,3-Feb,2,average,human decision maker,human decision maker,0.25
72,40,3-Feb,2,average,human decision maker,human decision maker,0.25
73,40,3-Feb,2,average,human decision maker,human decision maker,0.25
74,40,3-Feb,2,average,human decision maker,human decision maker,0.25
75,40,3-Feb,2,average,human decision maker,human decision maker,0.25
76,40,3-Feb,2,average,human decision maker,human decision maker,0.25
77,40,3-Feb,2,average,human decision maker,human decision maker,0.25
78,40,3-Feb,2,average,human decision maker,human decision maker,0.25
79,40,3-Feb,2,average,human decision maker,human decision maker,0.25
80,40,3-Feb,2,average,human decision maker,human decision maker,0.25
81,40,3-Feb,2,average,human decision maker,human decision maker,0.25
82,40,3-Feb,2,average,human decision maker,human decision maker,0.25
83,40,3-Feb,2,average,human decision maker,human decision maker,0.25
84,40,3-Feb,2,average,human decision maker,human decision maker,0.25
85,40,3-Feb,2,average,human decision maker,human decision maker,0.25
86,40,3-Feb,2,average,human decision maker,human decision maker,0.25
87,40,3-Feb,2,average,human decision maker,human decision maker,0.25
88,40,3-Feb,2,average,human decision maker,human decision maker,0.25
89,40,3-Feb,2,average,human decision maker,human decision maker,0.25
90,40,3-Feb,2,average,human decision maker,human decision maker,0.25
91,40,3-Feb,2,average,human decision maker,human decision maker,0.25
92,40,3-Feb,2,average,human decision maker,human decision maker,0.25
93,40,3-Feb,2,average,human decision maker,human decision maker,0.25
94,40,3-Feb,2,average,human decision maker,human decision maker,0.25
95,40,3-Feb,2,average,human decision maker,human decision maker,0.25
96,40,3-Feb,2,average,human decision maker,human decision maker,0.25
97,40,3-Feb,2,average,human decision maker,human decision maker,0.25
98,40,3-Feb,2,average,human decision maker,human decision maker,0.25
99,40,3-Feb,2,average,human decision maker,human decision maker,0.25
100,40,3-Feb,2,average,human decision maker,human decision maker,0.25
1,40,3-Feb,2,average,human decision maker,human decision maker,0.75
2,40,3-Feb,2,average,human decision maker,human decision maker,0.75
3,40,3-Feb,2,average,human decision maker,human decision maker,0.75
4,40,3-Feb,2,average,human decision maker,human decision maker,0.75
5,40,3-Feb,2,average,human decision maker,human decision maker,0.75
6,40,3-Feb,2,average,human decision maker,human decision maker,0.75
7,40,3-Feb,2,average,human decision maker,human decision maker,0.75
8,40,3-Feb,2,average,human decision maker,human decision maker,0.75
9,40,3-Feb,2,average,human decision maker,human decision maker,0.75
10,40,3-Feb,2,average,human decision maker,human decision maker,0.75
11,40,3-Feb,2,average,human decision maker,human decision maker,0.75
12,40,3-Feb,2,average,human decision maker,human decision maker,0.75
13,40,3-Feb,2,average,human decision maker,human decision maker,0.75
14,40,3-Feb,2,average,human decision maker,human decision maker,0.75
15,40,3-Feb,2,average,human decision maker,human decision maker,0.75
16,40,3-Feb,2,average,human decision maker,human decision maker,0.75
17,40,3-Feb,2,average,human decision maker,human decision maker,0.75
18,40,3-Feb,2,average,human decision maker,human decision maker,0.75
19,40,3-Feb,2,average,human decision maker,human decision maker,0.75
20,40,3-Feb,2,average,human decision maker,human decision maker,0.75
21,40,3-Feb,2,average,human decision maker,human decision maker,0.75
22,40,3-Feb,2,average,human decision maker,human decision maker,0.75
23,40,3-Feb,2,average,human decision maker,human decision maker,0.75
24,40,3-Feb,2,average,human decision maker,human decision maker,0.75
25,40,3-Feb,2,average,human decision maker,human decision maker,0.75
26,40,3-Feb,2,average,human decision maker,human decision maker,0.75
27,40,3-Feb,2,average,human decision maker,human decision maker,0.75
28,40,3-Feb,2,average,human decision maker,human decision maker,0.75
29,40,3-Feb,2,average,human decision maker,human decision maker,0.75
30,40,3-Feb,2,average,human decision maker,human decision maker,0.75
31,40,3-Feb,2,average,human decision maker,human decision maker,0.75
32,40,3-Feb,2,average,human decision maker,human decision maker,0.75
33,40,3-Feb,2,average,human decision maker,human decision maker,0.75
34,40,3-Feb,2,average,human decision maker,human decision maker,0.75
35,40,3-Feb,2,average,human decision maker,human decision maker,0.75
36,40,3-Feb,2,average,human decision maker,human decision maker,0.75
37,40,3-Feb,2,average,human decision maker,human decision maker,0.75
38,40,3-Feb,2,average,human decision maker,human decision maker,0.75
39,40,3-Feb,2,average,human decision maker,human decision maker,0.75
40,40,3-Feb,2,average,human decision maker,human decision maker,0.75
41,40,3-Feb,2,average,human decision maker,human decision maker,0.75
42,40,3-Feb,2,average,human decision maker,human decision maker,0.75
43,40,3-Feb,2,average,human decision maker,human decision maker,0.75
44,40,3-Feb,2,average,human decision maker,human decision maker,0.75
45,40,3-Feb,2,average,human decision maker,human decision maker,0.75
46,40,3-Feb,2,average,human decision maker,human decision maker,0.75
47,40,3-Feb,2,average,human decision maker,human decision maker,0.75
48,40,3-Feb,2,average,human decision maker,human decision maker,0.75
49,40,3-Feb,2,average,human decision maker,human decision maker,0.75
50,40,3-Feb,2,average,human decision maker,human decision maker,0.75
51,40,3-Feb,2,average,human decision maker,human decision maker,0.75
52,40,3-Feb,2,average,human decision maker,human decision maker,0.75
53,40,3-Feb,2,average,human decision maker,human decision maker,0.75
54,40,3-Feb,2,average,human decision maker,human decision maker,0.75
55,40,3-Feb,2,average,human decision maker,human decision maker,0.75
56,40,3-Feb,2,average,human decision maker,human decision maker,0.75
57,40,3-Feb,2,average,human decision maker,human decision maker,0.75
58,40,3-Feb,2,average,human decision maker,human decision maker,0.75
59,40,3-Feb,2,average,human decision maker,human decision maker,0.75
60,40,3-Feb,2,average,human decision maker,human decision maker,0.75
61,40,3-Feb,2,average,human decision maker,human decision maker,0.75
62,40,3-Feb,2,average,human decision maker,human decision maker,0.75
63,40,3-Feb,2,average,human decision maker,human decision maker,0.75
64,40,3-Feb,2,average,human decision maker,human decision maker,0.75
65,40,3-Feb,2,average,human decision maker,human decision maker,0.75
66,40,3-Feb,2,average,human decision maker,human decision maker,0.75
67,40,3-Feb,2,average,human decision maker,human decision maker,0.75
68,40,3-Feb,2,average,human decision maker,human decision maker,0.75
69,40,3-Feb,2,average,human decision maker,human decision maker,0.75
70,40,3-Feb,2,average,human decision maker,human decision maker,0.75
71,40,3-Feb,2,average,human decision maker,human decision maker,0.75
72,40,3-Feb,2,average,human decision maker,human decision maker,0.75
73,40,3-Feb,2,average,human decision maker,human decision maker,0.75
74,40,3-Feb,2,average,human decision maker,human decision maker,0.75
75,40,3-Feb,2,average,human decision maker,human decision maker,0.75
76,40,3-Feb,2,average,human decision maker,human decision maker,0.75
77,40,3-Feb,2,average,human decision maker,human decision maker,0.75
78,40,3-Feb,2,average,human decision maker,human decision maker,0.75
79,40,3-Feb,2,average,human decision maker,human decision maker,0.75
80,40,3-Feb,2,average,human decision maker,human decision maker,0.75
81,40,3-Feb,2,average,human decision maker,human decision maker,0.75
82,40,3-Feb,2,average,human decision maker,human decision maker,0.75
83,40,3-Feb,2,average,human decision maker,human decision maker,0.75
84,40,3-Feb,2,average,human decision maker,human decision maker,0.75
85,40,3-Feb,2,average,human decision maker,human decision maker,0.75
86,40,3-Feb,2,average,human decision maker,human decision maker,0.75
87,40,3-Feb,2,average,human decision maker,human decision maker,0.75
88,40,3-Feb,2,average,human decision maker,human decision maker,0.75
89,40,3-Feb,2,average,human decision maker,human decision maker,0.75
90,40,3-Feb,2,average,human decision maker,human decision maker,0.75
91,40,3-Feb,2,average,human decision maker,human decision maker,0.75
92,40,3-Feb,2,average,human decision maker,human decision maker,0.75
93,40,3-Feb,2,average,human decision maker,human decision maker,0.75
94,40,3-Feb,2,average,human decision maker,human decision maker,0.75
95,40,3-Feb,2,average,human decision maker,human decision maker,0.75
96,40,3-Feb,2,average,human decision maker,human decision maker,0.75
97,40,3-Feb,2,average,human decision maker,human decision maker,0.75
98,40,3-Feb,2,average,human decision maker,human decision maker,0.75
99,40,3-Feb,2,average,human decision maker,human decision maker,0.75
100,40,3-Feb,2,average,human decision maker,human decision maker,0.75
1,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
2,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
3,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
4,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
5,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
6,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
7,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
8,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
9,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
10,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
11,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
12,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
13,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
14,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
15,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
16,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
17,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
18,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
19,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
20,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
21,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
22,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
23,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
24,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
25,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
26,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
27,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
28,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
29,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
30,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
31,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
32,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
33,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
34,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
35,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
36,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
37,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
38,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
39,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
40,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
41,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
42,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
43,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
44,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
45,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
46,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
47,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
48,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
49,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
50,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
51,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
52,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
53,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
54,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
55,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
56,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
57,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
58,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
59,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
60,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
61,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
62,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
63,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
64,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
65,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
66,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
67,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
68,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
69,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
70,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
71,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
72,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
73,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
74,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
75,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
76,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
77,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
78,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
79,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
80,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
81,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
82,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
83,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
84,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
85,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
86,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
87,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
88,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
89,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
90,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
91,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
92,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
93,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
94,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
95,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
96,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
97,40,3-Feb,unknown,average,human decision maker,human decision maker,0.5
98,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
99,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
100,33,3-Feb,unknown,average,human decision maker,human decision maker,0.5
1,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
2,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
3,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
4,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
5,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
6,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
7,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
8,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
9,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
10,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
11,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
12,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
13,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
14,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
15,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
16,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
17,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
18,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
19,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
20,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
21,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
22,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
23,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
24,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
25,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
26,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
27,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
28,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
29,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
30,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
31,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
32,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
33,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
34,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
35,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
36,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
37,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
38,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
39,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
40,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
41,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
42,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
43,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
44,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
45,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
46,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
47,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
48,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
49,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
50,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
51,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
52,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
53,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
54,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
