,subject,response,act_as,play_against,temp
76,76,20,human decision maker,human decision maker,0.25
77,77,20,human decision maker,human decision maker,0.25
78,78,20,human decision maker,human decision maker,0.25
79,79,20,human decision maker,human decision maker,0.25
80,80,20,human decision maker,human decision maker,0.25
81,81,20,human decision maker,human decision maker,0.25
82,82,20,human decision maker,human decision maker,0.25
83,83,20,human decision maker,human decision maker,0.25
84,84,20,human decision maker,human decision maker,0.25
85,85,20,human decision maker,human decision maker,0.25
86,86,20,human decision maker,human decision maker,0.25
87,87,20,human decision maker,human decision maker,0.25
88,88,20,human decision maker,human decision maker,0.25
89,89,20,human decision maker,human decision maker,0.25
90,90,20,human decision maker,human decision maker,0.25
91,91,20,human decision maker,human decision maker,0.25
92,92,20,human decision maker,human decision maker,0.25
93,93,20,human decision maker,human decision maker,0.25
94,94,20,human decision maker,human decision maker,0.25
95,95,20,human decision maker,human decision maker,0.25
96,96,20,human decision maker,human decision maker,0.25
97,97,20,human decision maker,human decision maker,0.25
98,98,20,human decision maker,human decision maker,0.25
99,99,20,human decision maker,human decision maker,0.25
100,100,20,human decision maker,human decision maker,0.25
101,1,20,human decision maker,human decision maker,0.5
102,2,20,human decision maker,human decision maker,0.5
103,3,12,human decision maker,human decision maker,0.5
104,4,20,human decision maker,human decision maker,0.5
105,5,20,human decision maker,human decision maker,0.5
106,6,20,human decision maker,human decision maker,0.5
107,7,20,human decision maker,human decision maker,0.5
108,8,20,human decision maker,human decision maker,0.5
109,9,20,human decision maker,human decision maker,0.5
110,10,20,human decision maker,human decision maker,0.5
111,11,20,human decision maker,human decision maker,0.5
112,12,20,human decision maker,human decision maker,0.5
113,13,12,human decision maker,human decision maker,0.5
114,14,20,human decision maker,human decision maker,0.5
115,15,20,human decision maker,human decision maker,0.5
116,16,20,human decision maker,human decision maker,0.5
117,17,20,human decision maker,human decision maker,0.5
118,18,20,human decision maker,human decision maker,0.5
119,19,20,human decision maker,human decision maker,0.5
120,20,20,human decision maker,human decision maker,0.5
121,21,19,human decision maker,human decision maker,0.5
122,22,20,human decision maker,human decision maker,0.5
123,23,12,human decision maker,human decision maker,0.5
124,24,20,human decision maker,human decision maker,0.5
125,25,20,human decision maker,human decision maker,0.5
126,26,20,human decision maker,human decision maker,0.5
127,27,11,human decision maker,human decision maker,0.5
128,28,20,human decision maker,human decision maker,0.5
129,29,20,human decision maker,human decision maker,0.5
130,30,20,human decision maker,human decision maker,0.5
131,31,20,human decision maker,human decision maker,0.5
132,32,20,human decision maker,human decision maker,0.5
133,33,20,human decision maker,human decision maker,0.5
134,34,20,human decision maker,human decision maker,0.5
135,35,20,human decision maker,human decision maker,0.5
136,36,20,human decision maker,human decision maker,0.5
137,37,20,human decision maker,human decision maker,0.5
138,38,20,human decision maker,human decision maker,0.5
139,39,20,human decision maker,human decision maker,0.5
140,40,20,human decision maker,human decision maker,0.5
141,41,20,human decision maker,human decision maker,0.5
142,42,20,human decision maker,human decision maker,0.5
143,43,20,human decision maker,human decision maker,0.5
144,44,20,human decision maker,human decision maker,0.5
145,45,19,human decision maker,human decision maker,0.5
146,46,20,human decision maker,human decision maker,0.5
147,47,20,human decision maker,human decision maker,0.5
148,48,20,human decision maker,human decision maker,0.5
149,49,20,human decision maker,human decision maker,0.5
150,50,19,human decision maker,human decision maker,0.5
151,51,20,human decision maker,human decision maker,0.5
152,52,20,human decision maker,human decision maker,0.5
153,53,20,human decision maker,human decision maker,0.5
154,54,20,human decision maker,human decision maker,0.5
155,55,20,human decision maker,human decision maker,0.5
156,56,20,human decision maker,human decision maker,0.5
157,57,20,human decision maker,human decision maker,0.5
158,58,20,human decision maker,human decision maker,0.5
159,59,20,human decision maker,human decision maker,0.5
160,60,20,human decision maker,human decision maker,0.5
161,61,20,human decision maker,human decision maker,0.5
162,62,20,human decision maker,human decision maker,0.5
163,63,20,human decision maker,human decision maker,0.5
164,64,20,human decision maker,human decision maker,0.5
165,65,20,human decision maker,human decision maker,0.5
166,66,20,human decision maker,human decision maker,0.5
167,67,20,human decision maker,human decision maker,0.5
168,68,20,human decision maker,human decision maker,0.5
169,69,20,human decision maker,human decision maker,0.5
170,70,20,human decision maker,human decision maker,0.5
171,71,20,human decision maker,human decision maker,0.5
172,72,20,human decision maker,human decision maker,0.5
173,73,20,human decision maker,human decision maker,0.5
174,74,20,human decision maker,human decision maker,0.5
175,75,20,human decision maker,human decision maker,0.5
176,76,20,human decision maker,human decision maker,0.5
177,77,20,human decision maker,human decision maker,0.5
178,78,20,human decision maker,human decision maker,0.5
179,79,20,human decision maker,human decision maker,0.5
180,80,20,human decision maker,human decision maker,0.5
181,81,20,human decision maker,human decision maker,0.5
182,82,20,human decision maker,human decision maker,0.5
183,83,20,human decision maker,human decision maker,0.5
184,84,20,human decision maker,human decision maker,0.5
185,85,19,human decision maker,human decision maker,0.5
186,86,20,human decision maker,human decision maker,0.5
187,87,20,human decision maker,human decision maker,0.5
188,88,20,human decision maker,human decision maker,0.5
189,89,20,human decision maker,human decision maker,0.5
190,90,20,human decision maker,human decision maker,0.5
191,91,20,human decision maker,human decision maker,0.5
192,92,20,human decision maker,human decision maker,0.5
193,93,20,human decision maker,human decision maker,0.5
194,94,20,human decision maker,human decision maker,0.5
195,95,20,human decision maker,human decision maker,0.5
196,96,20,human decision maker,human decision maker,0.5
197,97,20,human decision maker,human decision maker,0.5
198,98,20,human decision maker,human decision maker,0.5
199,99,19,human decision maker,human decision maker,0.5
200,100,20,human decision maker,human decision maker,0.5
201,1,20,human decision maker,human decision maker,0.75
202,2,15,human decision maker,human decision maker,0.75
203,3,20,human decision maker,human decision maker,0.75
204,4,20,human decision maker,human decision maker,0.75
205,5,20,human decision maker,human decision maker,0.75
206,6,20,human decision maker,human decision maker,0.75
207,7,20,human decision maker,human decision maker,0.75
208,8,20,human decision maker,human decision maker,0.75
209,9,20,human decision maker,human decision maker,0.75
210,10,20,human decision maker,human decision maker,0.75
211,11,20,human decision maker,human decision maker,0.75
212,12,20,human decision maker,human decision maker,0.75
213,13,20,human decision maker,human decision maker,0.75
214,14,16,human decision maker,human decision maker,0.75
215,15,20,human decision maker,human decision maker,0.75
216,16,20,human decision maker,human decision maker,0.75
217,17,20,human decision maker,human decision maker,0.75
218,18,20,human decision maker,human decision maker,0.75
219,19,20,human decision maker,human decision maker,0.75
220,20,20,human decision maker,human decision maker,0.75
221,21,12,human decision maker,human decision maker,0.75
222,22,20,human decision maker,human decision maker,0.75
223,23,11,human decision maker,human decision maker,0.75
224,24,20,human decision maker,human decision maker,0.75
225,25,20,human decision maker,human decision maker,0.75
226,26,20,human decision maker,human decision maker,0.75
227,27,20,human decision maker,human decision maker,0.75
228,28,20,human decision maker,human decision maker,0.75
229,29,20,human decision maker,human decision maker,0.75
230,30,20,human decision maker,human decision maker,0.75
231,31,11,human decision maker,human decision maker,0.75
232,32,20,human decision maker,human decision maker,0.75
233,33,12,human decision maker,human decision maker,0.75
234,34,19,human decision maker,human decision maker,0.75
235,35,20,human decision maker,human decision maker,0.75
236,36,20,human decision maker,human decision maker,0.75
237,37,20,human decision maker,human decision maker,0.75
238,38,20,human decision maker,human decision maker,0.75
239,39,20,human decision maker,human decision maker,0.75
240,40,20,human decision maker,human decision maker,0.75
241,41,20,human decision maker,human decision maker,0.75
242,42,18,human decision maker,human decision maker,0.75
243,43,20,human decision maker,human decision maker,0.75
244,44,20,human decision maker,human decision maker,0.75
245,45,20,human decision maker,human decision maker,0.75
246,46,11,human decision maker,human decision maker,0.75
247,47,11,human decision maker,human decision maker,0.75
248,48,20,human decision maker,human decision maker,0.75
249,49,20,human decision maker,human decision maker,0.75
250,50,20,human decision maker,human decision maker,0.75
251,51,20,human decision maker,human decision maker,0.75
252,52,20,human decision maker,human decision maker,0.75
253,53,20,human decision maker,human decision maker,0.75
254,54,20,human decision maker,human decision maker,0.75
255,55,20,human decision maker,human decision maker,0.75
256,56,18,human decision maker,human decision maker,0.75
257,57,12,human decision maker,human decision maker,0.75
258,58,20,human decision maker,human decision maker,0.75
259,59,20,human decision maker,human decision maker,0.75
260,60,20,human decision maker,human decision maker,0.75
261,61,20,human decision maker,human decision maker,0.75
262,62,13,human decision maker,human decision maker,0.75
263,63,19,human decision maker,human decision maker,0.75
264,64,20,human decision maker,human decision maker,0.75
265,65,20,human decision maker,human decision maker,0.75
266,66,20,human decision maker,human decision maker,0.75
267,67,20,human decision maker,human decision maker,0.75
268,68,20,human decision maker,human decision maker,0.75
269,69,20,human decision maker,human decision maker,0.75
270,70,20,human decision maker,human decision maker,0.75
271,71,20,human decision maker,human decision maker,0.75
272,72,20,human decision maker,human decision maker,0.75
273,73,20,human decision maker,human decision maker,0.75
274,74,20,human decision maker,human decision maker,0.75
275,75,19,human decision maker,human decision maker,0.75
276,76,19,human decision maker,human decision maker,0.75
277,77,20,human decision maker,human decision maker,0.75
278,78,20,human decision maker,human decision maker,0.75
279,79,20,human decision maker,human decision maker,0.75
280,80,19,human decision maker,human decision maker,0.75
281,81,20,human decision maker,human decision maker,0.75
282,82,20,human decision maker,human decision maker,0.75
283,83,16,human decision maker,human decision maker,0.75
284,84,11,human decision maker,human decision maker,0.75
285,85,20,human decision maker,human decision maker,0.75
286,86,19,human decision maker,human decision maker,0.75
287,87,20,human decision maker,human decision maker,0.75
288,88,20,human decision maker,human decision maker,0.75
289,89,20,human decision maker,human decision maker,0.75
290,90,20,human decision maker,human decision maker,0.75
291,91,20,human decision maker,human decision maker,0.75
292,92,20,human decision maker,human decision maker,0.75
293,93,19,human decision maker,human decision maker,0.75
294,94,20,human decision maker,human decision maker,0.75
295,95,20,human decision maker,human decision maker,0.75
296,96,20,human decision maker,human decision maker,0.75
297,97,20,human decision maker,human decision maker,0.75
298,98,12,human decision maker,human decision maker,0.75
299,99,15,human decision maker,human decision maker,0.75
300,100,20,human decision maker,human decision maker,0.75
