session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
8,5,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,6,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,7,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,9,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,11,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,2,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,3,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,4,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,7,33,50,25,17,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,9,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,10,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,11,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,2,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,3,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,4,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,7,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,8,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,9,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,1,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,2,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,3,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,4,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,5,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,7,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,9,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,10,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,11,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,2,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,3,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,4,33,45,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,7,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,9,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,1,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,2,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,3,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,4,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,6,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,7,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,9,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,10,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,2,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,3,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,4,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,7,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,9,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,10,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,11,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,2,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,3,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,5,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,6,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,7,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,9,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,10,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,2,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,3,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,7,33,50,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,8,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,9,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,10,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,11,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,1,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,2,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,3,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,4,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,6,33,50,25,17,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,7,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,8,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,9,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,10,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,11,33,45,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,1,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,2,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,3,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,4,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,6,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,7,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,8,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,9,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,10,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,2,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,3,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,4,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,6,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,7,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,8,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,9,33,45,25,40,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,11,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,1,33,50,25,42,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,2,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,3,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,4,33,45,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,5,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,6,33,50,25,40,30,22,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,7,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,8,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,9,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,10,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,11,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,1,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,2,33,45,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,3,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,4,33,50,25,42,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,5,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,6,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,7,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,8,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,9,33,50,25,40,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,10,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,11,33,50,25,40,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,1,33,45,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,2,33,50,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,3,33,50,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,4,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,5,33,50,25,42,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,6,33,50,25,42,30,20,15,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,7,33,45,25,17,30,20,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,8,33,50,25,17,30,22,18,15,12,9,3-Feb,11,average,human decision maker,human decision makers,fixed,feedback,0.75
