subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,act_as,random,feedback,play_against,temp
47,650,100,500,500,450,100,429,150,450,300,350,500,650,350,390,500,human decision maker,fixed,no_feedback,human decision makers,1
48,650,350,750,150,100,100,650,100,450,630,350,350,900,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
49,650,100,500,500,100,250,650,150,500,350,350,300,780,100,780,300,human decision maker,fixed,no_feedback,human decision makers,1
50,390,350,450,150,150,100,400,150,150,300,350,350,780,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
51,650,350,750,100,100,100,390,150,500,300,500,300,300,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
52,650,350,600,150,100,900,390,250,500,350,300,300,390,100,390,500,human decision maker,fixed,no_feedback,human decision makers,1
53,650,350,750,150,100,100,390,150,143,600,300,350,390,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
54,650,350,750,150,100,100,780,150,500,600,350,350,650,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
55,650,350,750,375,100,100,390,150,500,300,350,500,650,350,900,300,human decision maker,fixed,no_feedback,human decision makers,1
56,650,210,750,150,250,100,780,100,500,350,300,300,300,350,650,500,human decision maker,fixed,no_feedback,human decision makers,1
57,650,350,750,375,250,100,780,100,150,630,350,300,300,300,780,500,human decision maker,fixed,no_feedback,human decision makers,1
58,650,210,600,150,100,100,390,150,450,300,300,350,300,350,300,450,human decision maker,fixed,no_feedback,human decision makers,1
59,650,350,750,400,100,100,429,150,150,630,430,300,780,350,300,450,human decision maker,fixed,no_feedback,human decision makers,1
60,390,210,600,100,100,250,390,100,500,300,350,350,300,350,780,300,human decision maker,fixed,no_feedback,human decision makers,1
61,650,350,750,150,100,100,390,150,150,300,350,300,300,100,650,300,human decision maker,fixed,no_feedback,human decision makers,1
62,650,350,600,500,300,100,390,200,450,300,300,500,650,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
63,650,350,750,150,100,250,390,150,150,630,300,350,300,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
64,650,350,750,150,150,250,900,150,500,350,350,300,390,350,650,300,human decision maker,fixed,no_feedback,human decision makers,1
65,650,350,750,150,100,250,780,150,450,350,350,300,780,350,650,500,human decision maker,fixed,no_feedback,human decision makers,1
66,650,100,450,500,100,100,900,150,150,630,300,300,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
67,650,100,750,500,100,900,780,150,150,300,300,300,300,100,900,300,human decision maker,fixed,no_feedback,human decision makers,1
68,650,350,600,500,150,100,780,150,150,300,300,300,780,300,390,300,human decision maker,fixed,no_feedback,human decision makers,1
69,390,350,750,400,450,100,900,150,143,300,300,300,900,350,780,400,human decision maker,fixed,no_feedback,human decision makers,1
70,650,350,750,500,100,100,650,150,500,350,500,300,780,350,390,450,human decision maker,fixed,no_feedback,human decision makers,1
71,650,100,750,150,100,100,780,150,143,350,300,300,780,350,300,400,human decision maker,fixed,no_feedback,human decision makers,1
72,650,210,600,500,250,100,390,100,150,630,350,300,300,350,650,500,human decision maker,fixed,no_feedback,human decision makers,1
73,650,350,450,400,100,100,650,150,150,350,300,300,300,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
74,650,350,750,500,100,100,390,100,500,300,300,300,390,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
75,390,350,430,500,100,100,780,150,500,300,350,500,300,350,390,500,human decision maker,fixed,no_feedback,human decision makers,1
76,650,350,750,500,100,100,390,100,450,630,300,300,300,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
77,390,350,500,150,250,250,650,150,150,455,300,300,300,300,300,500,human decision maker,fixed,no_feedback,human decision makers,1
78,650,210,750,150,100,100,650,150,350,350,350,300,900,350,900,500,human decision maker,fixed,no_feedback,human decision makers,1
79,650,210,600,500,100,100,390,150,150,630,350,350,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
80,650,350,750,375,250,250,390,200,150,300,350,350,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
81,650,350,750,150,100,250,650,150,450,300,350,300,300,100,300,450,human decision maker,fixed,no_feedback,human decision makers,1
82,390,100,450,500,150,100,780,150,150,630,500,300,650,350,390,500,human decision maker,fixed,no_feedback,human decision makers,1
83,650,210,600,150,100,100,390,150,150,630,300,350,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
84,650,350,450,500,100,100,780,200,500,630,350,350,780,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
85,650,350,750,200,100,900,390,150,143,350,300,500,780,350,390,300,human decision maker,fixed,no_feedback,human decision makers,1
86,650,350,600,150,150,100,390,150,150,630,300,350,300,350,300,450,human decision maker,fixed,no_feedback,human decision makers,1
87,650,350,750,100,100,100,390,150,500,630,430,350,300,100,650,500,human decision maker,fixed,no_feedback,human decision makers,1
88,650,210,600,150,250,100,780,150,500,300,500,350,650,300,650,500,human decision maker,fixed,no_feedback,human decision makers,1
89,650,210,430,500,150,100,780,150,150,630,350,350,300,100,780,300,human decision maker,fixed,no_feedback,human decision makers,1
90,650,350,430,500,250,100,390,100,150,300,500,500,300,100,300,450,human decision maker,fixed,no_feedback,human decision makers,1
91,650,350,750,500,450,250,390,150,450,350,350,350,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
92,650,350,750,150,100,100,390,150,150,630,300,300,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
93,650,350,600,500,100,250,390,200,143,455,430,300,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
94,650,100,450,200,100,250,390,150,500,300,430,350,390,100,650,500,human decision maker,fixed,no_feedback,human decision makers,1
95,390,350,450,400,150,100,390,150,500,630,300,300,390,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
96,390,350,600,150,100,100,900,250,143,300,350,350,390,100,300,300,human decision maker,fixed,no_feedback,human decision makers,1
97,650,350,750,500,150,100,390,200,150,300,300,300,300,350,300,300,human decision maker,fixed,no_feedback,human decision makers,1
98,390,350,750,500,300,250,780,100,150,300,350,350,900,350,390,500,human decision maker,fixed,no_feedback,human decision makers,1
99,390,350,600,150,100,100,780,100,450,350,300,300,300,100,300,500,human decision maker,fixed,no_feedback,human decision makers,1
100,650,350,750,100,150,250,390,150,500,300,350,300,300,350,300,500,human decision maker,fixed,no_feedback,human decision makers,1
