session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
8,6,25,60,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,7,22,60,65,75,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,8,20,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,9,60,50,65,75,90,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,10,25,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
8,11,60,52,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,1,60,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,2,60,50,65,75,80,90,98,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,3,60,52,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,4,55,52,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,5,20,50,65,70,90,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,6,22,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,7,50,60,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,8,60,50,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,9,50,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,10,60,50,65,75,90,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
9,11,20,60,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.5
1,1,55,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,2,55,50,62,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,3,25,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,4,60,52,65,70,90,85,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,5,22,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,6,22,60,62,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,7,20,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,8,53,50,62,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,9,22,60,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,10,20,52,65,75,90,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,11,60,50,65,70,90,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,1,25,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,2,55,50,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,3,60,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,4,20,50,65,70,90,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,5,25,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,6,60,50,65,70,80,90,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,7,25,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,8,50,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,9,25,50,65,75,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,10,25,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
2,11,60,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,1,50,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,2,55,50,65,70,80,95,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,3,55,60,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,4,22,52,62,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,5,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,6,60,60,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,7,53,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,8,55,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,9,22,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,10,22,60,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
3,11,25,50,62,70,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,1,25,50,65,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,2,20,60,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,3,60,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,4,20,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,5,22,60,62,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,6,25,60,62,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,7,25,60,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,8,60,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,9,60,50,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,10,60,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
4,11,60,52,65,70,90,95,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,1,60,50,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,2,25,50,40,70,80,85,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,3,25,52,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,4,25,60,65,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,5,53,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,6,20,50,65,70,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,7,25,60,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,8,53,60,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,9,25,60,40,75,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,10,53,50,65,70,80,85,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
5,11,20,50,65,70,80,95,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,1,22,50,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,2,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,3,60,52,40,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,4,22,50,65,75,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,5,55,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,6,50,50,40,70,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,7,60,50,65,70,80,90,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,8,53,50,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,9,25,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,10,50,60,65,75,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
6,11,50,50,65,75,90,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,1,25,50,65,70,80,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,2,55,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,3,53,50,62,75,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,4,22,50,65,75,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,5,25,52,62,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,6,55,50,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,7,22,50,65,75,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,8,60,50,65,70,80,95,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,9,25,50,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,10,60,50,65,70,80,90,98,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
7,11,55,52,65,75,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,1,60,50,40,75,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,2,25,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,3,53,60,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,4,20,60,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,5,22,50,65,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,6,53,50,65,75,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,7,50,60,65,75,90,85,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,8,22,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,9,25,52,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,10,55,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
8,11,25,60,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,1,20,52,65,75,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,2,25,50,40,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,3,50,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,4,60,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,5,25,50,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,6,60,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,7,50,52,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,8,60,50,65,70,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,9,20,50,65,70,80,90,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,10,25,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
9,11,20,60,62,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.25
1,1,60,50,62,75,90,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,2,50,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,3,20,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,4,60,50,62,70,80,90,98,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,5,20,50,65,70,90,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,6,25,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,7,60,60,65,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,8,60,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,9,60,50,65,75,90,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,10,60,50,65,75,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
1,11,25,50,40,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,1,60,50,65,75,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,2,60,50,62,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,3,25,60,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,4,60,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,5,55,50,65,70,80,85,98,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,6,22,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,7,53,50,65,70,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,8,25,60,65,70,80,85,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,9,50,60,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,10,53,52,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
2,11,25,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,1,50,50,40,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,2,55,52,65,75,80,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,3,22,50,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,4,53,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,5,55,50,40,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,6,25,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,7,60,60,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,8,25,50,40,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,9,25,60,40,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,10,60,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
3,11,25,50,65,70,80,85,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,1,25,52,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,2,60,50,65,70,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,3,50,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,4,60,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,5,22,60,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,6,25,60,40,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,7,60,50,65,75,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,8,25,50,65,70,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
