"X","subject","response","p_val","size","avg","act_as","play_against","temp"
32,32,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
33,33,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
34,34,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
35,35,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
36,36,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
37,37,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
38,38,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
39,39,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
40,40,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
41,41,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
42,42,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
43,43,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
44,44,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
45,45,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
46,46,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
47,47,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
48,48,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
49,49,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
50,50,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
51,51,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
52,52,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
53,53,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
54,54,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
55,55,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
56,56,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
57,57,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
58,58,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
59,59,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
60,60,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
61,61,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
62,62,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
63,63,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
64,64,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
65,65,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
66,66,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
67,67,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
68,68,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
69,69,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
70,70,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
71,71,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
72,72,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
73,73,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
74,74,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
75,75,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
76,76,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
77,77,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
78,78,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
79,79,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
80,80,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
81,81,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
82,82,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
83,83,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
84,84,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
85,85,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
86,86,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
87,87,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
88,88,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
89,89,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
90,90,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
91,91,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
92,92,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
93,93,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
94,94,37,"3-Feb","2","average","human decision maker","human decision maker",0.25
95,95,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
96,96,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
97,97,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
98,98,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
99,99,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
100,100,33,"3-Feb","2","average","human decision maker","human decision maker",0.25
201,1,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
202,2,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
203,3,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
204,4,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
205,5,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
206,6,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
207,7,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
208,8,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
209,9,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
210,10,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
211,11,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
212,12,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
213,13,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
214,14,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
215,15,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
216,16,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
217,17,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
218,18,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
219,19,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
220,20,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
221,21,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
222,22,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
223,23,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
224,24,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
225,25,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
226,26,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
227,27,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
228,28,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
229,29,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
230,30,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
231,31,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
232,32,47,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
233,33,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
234,34,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
235,35,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
236,36,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
237,37,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
238,38,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
239,39,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
240,40,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
241,41,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
242,42,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
243,43,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
244,44,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
245,45,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
246,46,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
247,47,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
248,48,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
249,49,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
250,50,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
251,51,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
252,52,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
253,53,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
254,54,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
255,55,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
256,56,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
257,57,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
258,58,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
259,59,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
260,60,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
261,61,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
262,62,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
263,63,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
264,64,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
265,65,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
266,66,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
267,67,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
268,68,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
269,69,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
270,70,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
271,71,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
272,72,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
273,73,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
274,74,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
275,75,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
276,76,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
277,77,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
278,78,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
279,79,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
280,80,1,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
281,81,1,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
282,82,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
283,83,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
284,84,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
285,85,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
286,86,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
287,87,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
288,88,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
289,89,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
290,90,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
291,91,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
292,92,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
293,93,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
294,94,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
295,95,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
296,96,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
297,97,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
298,98,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
299,99,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
300,100,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.25
301,1,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
302,2,47,"3-Feb","2","average","human decision maker","human decision maker",0.5
303,3,35,"3-Feb","2","average","human decision maker","human decision maker",0.5
304,4,25,"3-Feb","2","average","human decision maker","human decision maker",0.5
305,5,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
306,6,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
307,7,47,"3-Feb","2","average","human decision maker","human decision maker",0.5
308,8,0,"3-Feb","2","average","human decision maker","human decision maker",0.5
309,9,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
310,10,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
311,11,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
312,12,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
313,13,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
314,14,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
315,15,15,"3-Feb","2","average","human decision maker","human decision maker",0.5
316,16,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
317,17,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
318,18,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
319,19,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
320,20,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
321,21,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
322,22,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
323,23,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
324,24,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
325,25,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
326,26,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
327,27,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
328,28,37,"3-Feb","2","average","human decision maker","human decision maker",0.5
329,29,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
330,30,37,"3-Feb","2","average","human decision maker","human decision maker",0.5
331,31,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
332,32,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
333,33,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
334,34,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
335,35,35,"3-Feb","2","average","human decision maker","human decision maker",0.5
336,36,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
337,37,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
338,38,25,"3-Feb","2","average","human decision maker","human decision maker",0.5
339,39,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
340,40,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
341,41,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
342,42,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
343,43,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
344,44,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
345,45,35,"3-Feb","2","average","human decision maker","human decision maker",0.5
346,46,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
347,47,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
348,48,38,"3-Feb","2","average","human decision maker","human decision maker",0.5
349,49,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
350,50,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
351,51,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
352,52,45,"3-Feb","2","average","human decision maker","human decision maker",0.5
353,53,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
354,54,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
355,55,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
356,56,37,"3-Feb","2","average","human decision maker","human decision maker",0.5
357,57,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
358,58,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
359,59,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
360,60,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
361,61,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
362,62,30,"3-Feb","2","average","human decision maker","human decision maker",0.5
363,63,32,"3-Feb","2","average","human decision maker","human decision maker",0.5
364,64,25,"3-Feb","2","average","human decision maker","human decision maker",0.5
365,65,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
366,66,22,"3-Feb","2","average","human decision maker","human decision maker",0.5
367,67,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
368,68,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
369,69,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
370,70,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
371,71,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
372,72,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
373,73,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
374,74,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
375,75,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
376,76,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
377,77,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
378,78,25,"3-Feb","2","average","human decision maker","human decision maker",0.5
379,79,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
380,80,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
381,81,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
382,82,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
383,83,50,"3-Feb","2","average","human decision maker","human decision maker",0.5
384,84,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
385,85,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
386,86,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
387,87,37,"3-Feb","2","average","human decision maker","human decision maker",0.5
388,88,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
389,89,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
390,90,35,"3-Feb","2","average","human decision maker","human decision maker",0.5
391,91,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
392,92,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
393,93,35,"3-Feb","2","average","human decision maker","human decision maker",0.5
394,94,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
395,95,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
396,96,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
397,97,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
398,98,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
399,99,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
400,100,33,"3-Feb","2","average","human decision maker","human decision maker",0.5
501,1,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
502,2,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
503,3,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
504,4,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
505,5,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
506,6,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
507,7,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
508,8,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
509,9,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
510,10,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
511,11,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
512,12,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
513,13,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
514,14,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
515,15,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
516,16,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
517,17,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
518,18,29,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
519,19,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
520,20,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
521,21,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
522,22,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
523,23,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
524,24,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
525,25,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
526,26,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
527,27,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
528,28,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
529,29,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
530,30,38,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
531,31,38,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
532,32,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
533,33,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
534,34,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
535,35,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
536,36,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
537,37,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
538,38,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
539,39,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
540,40,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
541,41,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
542,42,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
543,43,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
544,44,12,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
545,45,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
546,46,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
547,47,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
548,48,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
549,49,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
550,50,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
551,51,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
552,52,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
553,53,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
554,54,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
555,55,17,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
556,56,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
557,57,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
558,58,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
559,59,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
560,60,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
561,61,0,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
562,62,1,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
563,63,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
564,64,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
565,65,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
566,66,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
567,67,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
568,68,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
569,69,1,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
570,70,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
571,71,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
572,72,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
573,73,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
574,74,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
575,75,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
576,76,13,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
577,77,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
578,78,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
579,79,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
580,80,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
581,81,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
582,82,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
583,83,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
584,84,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
585,85,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
586,86,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
587,87,43,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
588,88,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
589,89,17,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
590,90,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
591,91,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
592,92,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
593,93,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
594,94,13,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
595,95,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
596,96,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
597,97,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
598,98,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
599,99,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
600,100,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.5
601,1,34,"3-Feb","2","average","human decision maker","human decision maker",0.75
602,2,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
603,3,47,"3-Feb","2","average","human decision maker","human decision maker",0.75
604,4,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
605,5,23,"3-Feb","2","average","human decision maker","human decision maker",0.75
606,6,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
607,7,44,"3-Feb","2","average","human decision maker","human decision maker",0.75
608,8,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
609,9,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
610,10,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
