,subject,act_as,play_against,temp,response
49,49,human decision maker,human decision maker,0.5,19
50,50,human decision maker,human decision maker,0.5,16
51,51,human decision maker,human decision maker,0.5,19
52,52,human decision maker,human decision maker,0.5,16
53,53,human decision maker,human decision maker,0.5,16
54,54,human decision maker,human decision maker,0.5,16
55,55,human decision maker,human decision maker,0.5,19
56,56,human decision maker,human decision maker,0.5,19
57,57,human decision maker,human decision maker,0.5,19
58,58,human decision maker,human decision maker,0.5,19
59,59,human decision maker,human decision maker,0.5,16
60,60,human decision maker,human decision maker,0.5,16
61,61,human decision maker,human decision maker,0.5,19
62,62,human decision maker,human decision maker,0.5,16
63,63,human decision maker,human decision maker,0.5,19
64,64,human decision maker,human decision maker,0.5,19
65,65,human decision maker,human decision maker,0.5,19
66,66,human decision maker,human decision maker,0.5,16
67,67,human decision maker,human decision maker,0.5,19
68,68,human decision maker,human decision maker,0.5,19
69,69,human decision maker,human decision maker,0.5,19
70,70,human decision maker,human decision maker,0.5,16
71,71,human decision maker,human decision maker,0.5,15
72,72,human decision maker,human decision maker,0.5,19
73,73,human decision maker,human decision maker,0.5,16
74,74,human decision maker,human decision maker,0.5,19
75,75,human decision maker,human decision maker,0.5,16
76,76,human decision maker,human decision maker,0.5,19
77,77,human decision maker,human decision maker,0.5,19
78,78,human decision maker,human decision maker,0.5,19
79,79,human decision maker,human decision maker,0.5,19
80,80,human decision maker,human decision maker,0.5,16
81,81,human decision maker,human decision maker,0.5,16
82,82,human decision maker,human decision maker,0.5,20
83,83,human decision maker,human decision maker,0.5,20
84,84,human decision maker,human decision maker,0.5,16
85,85,human decision maker,human decision maker,0.5,16
86,86,human decision maker,human decision maker,0.5,19
87,87,human decision maker,human decision maker,0.5,16
88,88,human decision maker,human decision maker,0.5,19
89,89,human decision maker,human decision maker,0.5,16
90,90,human decision maker,human decision maker,0.5,19
91,91,human decision maker,human decision maker,0.5,19
92,92,human decision maker,human decision maker,0.5,16
93,93,human decision maker,human decision maker,0.5,19
94,94,human decision maker,human decision maker,0.5,19
95,95,human decision maker,human decision maker,0.5,19
96,96,human decision maker,human decision maker,0.5,19
97,97,human decision maker,human decision maker,0.5,20
98,98,human decision maker,human decision maker,0.5,16
99,99,human decision maker,human decision maker,0.5,16
100,100,human decision maker,human decision maker,0.5,19
101,1,human decision maker,human decision maker,0.25,19
102,2,human decision maker,human decision maker,0.25,19
103,3,human decision maker,human decision maker,0.25,19
104,4,human decision maker,human decision maker,0.25,19
105,5,human decision maker,human decision maker,0.25,19
106,6,human decision maker,human decision maker,0.25,19
107,7,human decision maker,human decision maker,0.25,19
108,8,human decision maker,human decision maker,0.25,19
109,9,human decision maker,human decision maker,0.25,19
110,10,human decision maker,human decision maker,0.25,19
111,11,human decision maker,human decision maker,0.25,19
112,12,human decision maker,human decision maker,0.25,15
113,13,human decision maker,human decision maker,0.25,15
114,14,human decision maker,human decision maker,0.25,19
115,15,human decision maker,human decision maker,0.25,19
116,16,human decision maker,human decision maker,0.25,19
117,17,human decision maker,human decision maker,0.25,19
118,18,human decision maker,human decision maker,0.25,19
119,19,human decision maker,human decision maker,0.25,19
120,20,human decision maker,human decision maker,0.25,19
121,21,human decision maker,human decision maker,0.25,16
122,22,human decision maker,human decision maker,0.25,20
123,23,human decision maker,human decision maker,0.25,15
124,24,human decision maker,human decision maker,0.25,20
125,25,human decision maker,human decision maker,0.25,15
126,26,human decision maker,human decision maker,0.25,16
127,27,human decision maker,human decision maker,0.25,16
128,28,human decision maker,human decision maker,0.25,19
129,29,human decision maker,human decision maker,0.25,15
130,30,human decision maker,human decision maker,0.25,19
131,31,human decision maker,human decision maker,0.25,19
132,32,human decision maker,human decision maker,0.25,19
133,33,human decision maker,human decision maker,0.25,19
134,34,human decision maker,human decision maker,0.25,19
135,35,human decision maker,human decision maker,0.25,19
136,36,human decision maker,human decision maker,0.25,19
137,37,human decision maker,human decision maker,0.25,19
138,38,human decision maker,human decision maker,0.25,19
139,39,human decision maker,human decision maker,0.25,19
140,40,human decision maker,human decision maker,0.25,15
141,41,human decision maker,human decision maker,0.25,19
142,42,human decision maker,human decision maker,0.25,15
143,43,human decision maker,human decision maker,0.25,19
144,44,human decision maker,human decision maker,0.25,19
145,45,human decision maker,human decision maker,0.25,20
146,46,human decision maker,human decision maker,0.25,19
147,47,human decision maker,human decision maker,0.25,19
148,48,human decision maker,human decision maker,0.25,19
149,49,human decision maker,human decision maker,0.25,19
150,50,human decision maker,human decision maker,0.25,19
151,51,human decision maker,human decision maker,0.25,19
152,52,human decision maker,human decision maker,0.25,15
153,53,human decision maker,human decision maker,0.25,19
154,54,human decision maker,human decision maker,0.25,15
155,55,human decision maker,human decision maker,0.25,15
156,56,human decision maker,human decision maker,0.25,19
157,57,human decision maker,human decision maker,0.25,19
158,58,human decision maker,human decision maker,0.25,19
159,59,human decision maker,human decision maker,0.25,19
160,60,human decision maker,human decision maker,0.25,19
161,61,human decision maker,human decision maker,0.25,19
162,62,human decision maker,human decision maker,0.25,19
163,63,human decision maker,human decision maker,0.25,19
164,64,human decision maker,human decision maker,0.25,15
165,65,human decision maker,human decision maker,0.25,19
166,66,human decision maker,human decision maker,0.25,15
167,67,human decision maker,human decision maker,0.25,19
168,68,human decision maker,human decision maker,0.25,19
169,69,human decision maker,human decision maker,0.25,19
170,70,human decision maker,human decision maker,0.25,19
171,71,human decision maker,human decision maker,0.25,19
172,72,human decision maker,human decision maker,0.25,19
173,73,human decision maker,human decision maker,0.25,19
174,74,human decision maker,human decision maker,0.25,19
175,75,human decision maker,human decision maker,0.25,19
176,76,human decision maker,human decision maker,0.25,19
177,77,human decision maker,human decision maker,0.25,19
178,78,human decision maker,human decision maker,0.25,19
179,79,human decision maker,human decision maker,0.25,19
180,80,human decision maker,human decision maker,0.25,19
181,81,human decision maker,human decision maker,0.25,19
182,82,human decision maker,human decision maker,0.25,19
183,83,human decision maker,human decision maker,0.25,16
184,84,human decision maker,human decision maker,0.25,15
185,85,human decision maker,human decision maker,0.25,19
186,86,human decision maker,human decision maker,0.25,15
187,87,human decision maker,human decision maker,0.25,19
188,88,human decision maker,human decision maker,0.25,19
189,89,human decision maker,human decision maker,0.25,19
190,90,human decision maker,human decision maker,0.25,19
191,91,human decision maker,human decision maker,0.25,19
192,92,human decision maker,human decision maker,0.25,20
193,93,human decision maker,human decision maker,0.25,19
194,94,human decision maker,human decision maker,0.25,19
195,95,human decision maker,human decision maker,0.25,15
196,96,human decision maker,human decision maker,0.25,16
197,97,human decision maker,human decision maker,0.25,19
198,98,human decision maker,human decision maker,0.25,19
199,99,human decision maker,human decision maker,0.25,19
200,100,human decision maker,human decision maker,0.25,19
201,1,human decision maker,human decision maker,0.75,19
202,2,human decision maker,human decision maker,0.75,19
203,3,human decision maker,human decision maker,0.75,19
204,4,human decision maker,human decision maker,0.75,20
205,5,human decision maker,human decision maker,0.75,19
206,6,human decision maker,human decision maker,0.75,19
207,7,human decision maker,human decision maker,0.75,19
208,8,human decision maker,human decision maker,0.75,19
209,9,human decision maker,human decision maker,0.75,19
210,10,human decision maker,human decision maker,0.75,19
211,11,human decision maker,human decision maker,0.75,19
212,12,human decision maker,human decision maker,0.75,19
213,13,human decision maker,human decision maker,0.75,19
214,14,human decision maker,human decision maker,0.75,19
215,15,human decision maker,human decision maker,0.75,20
216,16,human decision maker,human decision maker,0.75,19
217,17,human decision maker,human decision maker,0.75,19
218,18,human decision maker,human decision maker,0.75,19
219,19,human decision maker,human decision maker,0.75,19
220,20,human decision maker,human decision maker,0.75,19
221,21,human decision maker,human decision maker,0.75,19
222,22,human decision maker,human decision maker,0.75,19
223,23,human decision maker,human decision maker,0.75,19
224,24,human decision maker,human decision maker,0.75,19
225,25,human decision maker,human decision maker,0.75,20
226,26,human decision maker,human decision maker,0.75,19
227,27,human decision maker,human decision maker,0.75,19
228,28,human decision maker,human decision maker,0.75,19
229,29,human decision maker,human decision maker,0.75,19
230,30,human decision maker,human decision maker,0.75,19
231,31,human decision maker,human decision maker,0.75,19
232,32,human decision maker,human decision maker,0.75,19
233,33,human decision maker,human decision maker,0.75,19
234,34,human decision maker,human decision maker,0.75,19
235,35,human decision maker,human decision maker,0.75,19
236,36,human decision maker,human decision maker,0.75,19
237,37,human decision maker,human decision maker,0.75,19
238,38,human decision maker,human decision maker,0.75,19
239,39,human decision maker,human decision maker,0.75,19
240,40,human decision maker,human decision maker,0.75,19
241,41,human decision maker,human decision maker,0.75,19
242,42,human decision maker,human decision maker,0.75,19
243,43,human decision maker,human decision maker,0.75,19
244,44,human decision maker,human decision maker,0.75,19
245,45,human decision maker,human decision maker,0.75,19
246,46,human decision maker,human decision maker,0.75,19
247,47,human decision maker,human decision maker,0.75,19
248,48,human decision maker,human decision maker,0.75,19
249,49,human decision maker,human decision maker,0.75,19
250,50,human decision maker,human decision maker,0.75,19
251,51,human decision maker,human decision maker,0.75,19
252,52,human decision maker,human decision maker,0.75,19
253,53,human decision maker,human decision maker,0.75,19
254,54,human decision maker,human decision maker,0.75,19
255,55,human decision maker,human decision maker,0.75,19
256,56,human decision maker,human decision maker,0.75,19
257,57,human decision maker,human decision maker,0.75,19
258,58,human decision maker,human decision maker,0.75,19
259,59,human decision maker,human decision maker,0.75,19
260,60,human decision maker,human decision maker,0.75,19
261,61,human decision maker,human decision maker,0.75,19
262,62,human decision maker,human decision maker,0.75,19
263,63,human decision maker,human decision maker,0.75,19
264,64,human decision maker,human decision maker,0.75,20
265,65,human decision maker,human decision maker,0.75,19
266,66,human decision maker,human decision maker,0.75,19
267,67,human decision maker,human decision maker,0.75,20
268,68,human decision maker,human decision maker,0.75,19
269,69,human decision maker,human decision maker,0.75,19
270,70,human decision maker,human decision maker,0.75,19
271,71,human decision maker,human decision maker,0.75,20
272,72,human decision maker,human decision maker,0.75,19
273,73,human decision maker,human decision maker,0.75,19
274,74,human decision maker,human decision maker,0.75,19
275,75,human decision maker,human decision maker,0.75,19
276,76,human decision maker,human decision maker,0.75,19
277,77,human decision maker,human decision maker,0.75,19
278,78,human decision maker,human decision maker,0.75,20
279,79,human decision maker,human decision maker,0.75,19
280,80,human decision maker,human decision maker,0.75,19
281,81,human decision maker,human decision maker,0.75,19
282,82,human decision maker,human decision maker,0.75,19
283,83,human decision maker,human decision maker,0.75,19
284,84,human decision maker,human decision maker,0.75,19
285,85,human decision maker,human decision maker,0.75,20
286,86,human decision maker,human decision maker,0.75,19
287,87,human decision maker,human decision maker,0.75,19
288,88,human decision maker,human decision maker,0.75,19
289,89,human decision maker,human decision maker,0.75,19
290,90,human decision maker,human decision maker,0.75,19
291,91,human decision maker,human decision maker,0.75,19
292,92,human decision maker,human decision maker,0.75,19
293,93,human decision maker,human decision maker,0.75,19
294,94,human decision maker,human decision maker,0.75,19
295,95,human decision maker,human decision maker,0.75,19
296,96,human decision maker,human decision maker,0.75,19
297,97,human decision maker,human decision maker,0.75,19
298,98,human decision maker,human decision maker,0.75,19
299,99,human decision maker,human decision maker,0.75,19
300,100,human decision maker,human decision maker,0.75,19
