subject,response,p_val,size,avg,act_as,play_against,temp
79,0,3-Feb,2,average,human decision maker,human decision maker,1
80,0,3-Feb,2,average,human decision maker,human decision maker,1
81,0,3-Feb,2,average,human decision maker,human decision maker,1
82,0,3-Feb,2,average,human decision maker,human decision maker,1
83,0,3-Feb,2,average,human decision maker,human decision maker,1
84,0,3-Feb,2,average,human decision maker,human decision maker,1
85,25,3-Feb,2,average,human decision maker,human decision maker,1
86,0,3-Feb,2,average,human decision maker,human decision maker,1
87,0,3-Feb,2,average,human decision maker,human decision maker,1
88,0,3-Feb,2,average,human decision maker,human decision maker,1
89,25,3-Feb,2,average,human decision maker,human decision maker,1
90,0,3-Feb,2,average,human decision maker,human decision maker,1
91,0,3-Feb,2,average,human decision maker,human decision maker,1
92,0,3-Feb,2,average,human decision maker,human decision maker,1
93,0,3-Feb,2,average,human decision maker,human decision maker,1
94,0,3-Feb,2,average,human decision maker,human decision maker,1
95,0,3-Feb,2,average,human decision maker,human decision maker,1
96,25,3-Feb,2,average,human decision maker,human decision maker,1
97,0,3-Feb,2,average,human decision maker,human decision maker,1
98,25,3-Feb,2,average,human decision maker,human decision maker,1
99,0,3-Feb,2,average,human decision maker,human decision maker,1
100,0,3-Feb,2,average,human decision maker,human decision maker,1
1,22,3-Feb,unknown,average,human decision maker,human decision maker,1
2,22,3-Feb,unknown,average,human decision maker,human decision maker,1
3,22,3-Feb,unknown,average,human decision maker,human decision maker,1
4,0,3-Feb,unknown,average,human decision maker,human decision maker,1
5,0,3-Feb,unknown,average,human decision maker,human decision maker,1
6,0,3-Feb,unknown,average,human decision maker,human decision maker,1
7,22,3-Feb,unknown,average,human decision maker,human decision maker,1
8,13,3-Feb,unknown,average,human decision maker,human decision maker,1
9,0,3-Feb,unknown,average,human decision maker,human decision maker,1
10,22,3-Feb,unknown,average,human decision maker,human decision maker,1
11,15,3-Feb,unknown,average,human decision maker,human decision maker,1
12,0,3-Feb,unknown,average,human decision maker,human decision maker,1
13,15,3-Feb,unknown,average,human decision maker,human decision maker,1
14,13,3-Feb,unknown,average,human decision maker,human decision maker,1
15,22,3-Feb,unknown,average,human decision maker,human decision maker,1
16,13,3-Feb,unknown,average,human decision maker,human decision maker,1
17,22,3-Feb,unknown,average,human decision maker,human decision maker,1
18,0,3-Feb,unknown,average,human decision maker,human decision maker,1
19,22,3-Feb,unknown,average,human decision maker,human decision maker,1
20,0,3-Feb,unknown,average,human decision maker,human decision maker,1
21,22,3-Feb,unknown,average,human decision maker,human decision maker,1
22,13,3-Feb,unknown,average,human decision maker,human decision maker,1
23,0,3-Feb,unknown,average,human decision maker,human decision maker,1
24,22,3-Feb,unknown,average,human decision maker,human decision maker,1
25,22,3-Feb,unknown,average,human decision maker,human decision maker,1
26,22,3-Feb,unknown,average,human decision maker,human decision maker,1
27,0,3-Feb,unknown,average,human decision maker,human decision maker,1
28,22,3-Feb,unknown,average,human decision maker,human decision maker,1
29,22,3-Feb,unknown,average,human decision maker,human decision maker,1
30,0,3-Feb,unknown,average,human decision maker,human decision maker,1
31,0,3-Feb,unknown,average,human decision maker,human decision maker,1
32,0,3-Feb,unknown,average,human decision maker,human decision maker,1
33,13,3-Feb,unknown,average,human decision maker,human decision maker,1
34,0,3-Feb,unknown,average,human decision maker,human decision maker,1
35,22,3-Feb,unknown,average,human decision maker,human decision maker,1
36,22,3-Feb,unknown,average,human decision maker,human decision maker,1
37,22,3-Feb,unknown,average,human decision maker,human decision maker,1
38,22,3-Feb,unknown,average,human decision maker,human decision maker,1
39,22,3-Feb,unknown,average,human decision maker,human decision maker,1
40,0,3-Feb,unknown,average,human decision maker,human decision maker,1
41,22,3-Feb,unknown,average,human decision maker,human decision maker,1
42,13,3-Feb,unknown,average,human decision maker,human decision maker,1
43,0,3-Feb,unknown,average,human decision maker,human decision maker,1
44,0,3-Feb,unknown,average,human decision maker,human decision maker,1
45,22,3-Feb,unknown,average,human decision maker,human decision maker,1
46,0,3-Feb,unknown,average,human decision maker,human decision maker,1
47,22,3-Feb,unknown,average,human decision maker,human decision maker,1
48,22,3-Feb,unknown,average,human decision maker,human decision maker,1
49,22,3-Feb,unknown,average,human decision maker,human decision maker,1
50,22,3-Feb,unknown,average,human decision maker,human decision maker,1
51,22,3-Feb,unknown,average,human decision maker,human decision maker,1
52,22,3-Feb,unknown,average,human decision maker,human decision maker,1
53,22,3-Feb,unknown,average,human decision maker,human decision maker,1
54,0,3-Feb,unknown,average,human decision maker,human decision maker,1
55,22,3-Feb,unknown,average,human decision maker,human decision maker,1
56,13,3-Feb,unknown,average,human decision maker,human decision maker,1
57,22,3-Feb,unknown,average,human decision maker,human decision maker,1
58,0,3-Feb,unknown,average,human decision maker,human decision maker,1
59,22,3-Feb,unknown,average,human decision maker,human decision maker,1
60,22,3-Feb,unknown,average,human decision maker,human decision maker,1
61,0,3-Feb,unknown,average,human decision maker,human decision maker,1
62,0,3-Feb,unknown,average,human decision maker,human decision maker,1
63,22,3-Feb,unknown,average,human decision maker,human decision maker,1
64,15,3-Feb,unknown,average,human decision maker,human decision maker,1
65,22,3-Feb,unknown,average,human decision maker,human decision maker,1
66,22,3-Feb,unknown,average,human decision maker,human decision maker,1
67,0,3-Feb,unknown,average,human decision maker,human decision maker,1
68,22,3-Feb,unknown,average,human decision maker,human decision maker,1
69,22,3-Feb,unknown,average,human decision maker,human decision maker,1
70,0,3-Feb,unknown,average,human decision maker,human decision maker,1
71,22,3-Feb,unknown,average,human decision maker,human decision maker,1
72,0,3-Feb,unknown,average,human decision maker,human decision maker,1
73,13,3-Feb,unknown,average,human decision maker,human decision maker,1
74,15,3-Feb,unknown,average,human decision maker,human decision maker,1
75,0,3-Feb,unknown,average,human decision maker,human decision maker,1
76,22,3-Feb,unknown,average,human decision maker,human decision maker,1
77,0,3-Feb,unknown,average,human decision maker,human decision maker,1
78,22,3-Feb,unknown,average,human decision maker,human decision maker,1
79,22,3-Feb,unknown,average,human decision maker,human decision maker,1
80,13,3-Feb,unknown,average,human decision maker,human decision maker,1
81,22,3-Feb,unknown,average,human decision maker,human decision maker,1
82,0,3-Feb,unknown,average,human decision maker,human decision maker,1
83,22,3-Feb,unknown,average,human decision maker,human decision maker,1
84,0,3-Feb,unknown,average,human decision maker,human decision maker,1
85,0,3-Feb,unknown,average,human decision maker,human decision maker,1
86,22,3-Feb,unknown,average,human decision maker,human decision maker,1
87,0,3-Feb,unknown,average,human decision maker,human decision maker,1
88,0,3-Feb,unknown,average,human decision maker,human decision maker,1
89,13,3-Feb,unknown,average,human decision maker,human decision maker,1
90,22,3-Feb,unknown,average,human decision maker,human decision maker,1
91,22,3-Feb,unknown,average,human decision maker,human decision maker,1
92,22,3-Feb,unknown,average,human decision maker,human decision maker,1
93,22,3-Feb,unknown,average,human decision maker,human decision maker,1
94,22,3-Feb,unknown,average,human decision maker,human decision maker,1
95,22,3-Feb,unknown,average,human decision maker,human decision maker,1
96,22,3-Feb,unknown,average,human decision maker,human decision maker,1
97,22,3-Feb,unknown,average,human decision maker,human decision maker,1
98,22,3-Feb,unknown,average,human decision maker,human decision maker,1
99,22,3-Feb,unknown,average,human decision maker,human decision maker,1
100,0,3-Feb,unknown,average,human decision maker,human decision maker,1
