"","subject","LLM","tau","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_tau","ci_upper_tau","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"13","13","chatgpto1","5.01212240165952","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"14","14","chatgpto1","1.84304939258865","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"15","15","chatgpto1","4.46021356735734","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"16","16","chatgpto1","2.77345060343755","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"17","17","chatgpto1","2.49928090552816","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"18","18","chatgpto1","1.99471247422347","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"19","19","chatgpto1","3.53968409812669","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"20","20","chatgpto1","2.63731270624379","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"21","21","chatgpto1","1.32040469150727","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"22","22","chatgpto1","2.56846619433879","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"23","23","chatgpto1","2.92156907615378","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"24","24","chatgpto1","2.70795669937921","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"25","25","chatgpto1","2.92156892657387","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"26","26","chatgpto1","2.13332937388638","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"27","27","chatgpto1","2.49707837507926","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"28","28","chatgpto1","3.35513755597191","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"29","29","chatgpto1","1.86611635749802","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"30","30","chatgpto1","1.93330616154203","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"31","31","chatgpto1","2.10616775727941","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"32","32","chatgpto1","3.58755691309342","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"33","33","chatgpto1","2.05743820848903","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"34","34","chatgpto1","2.9215700442181","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"35","35","chatgpto1","3.4587582716285","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"36","36","chatgpto1","2.90908562722016","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"37","37","chatgpto1","3.50796863042187","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"38","38","chatgpto1","2.1343276201902","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"39","39","chatgpto1","3.43202748927364","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"40","40","chatgpto1","2.70921918093986","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"41","41","chatgpto1","2.8655922087847","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"42","42","chatgpto1","2.03395721647227","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"43","43","chatgpto1","3.91682266192815","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"44","44","chatgpto1","3.91014595168042","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"45","45","chatgpto1","4.24587870224026","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"46","46","chatgpto1","2.13441990426862","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"47","47","chatgpto1","2.56531342532653","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"48","48","chatgpto1","3.06744406874589","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"49","49","chatgpto1","2.01756114458962","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"50","50","chatgpto1","2.69576409941751","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"51","51","chatgpto1","3.75333584131031","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"52","52","chatgpto1","3.5612468271361","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"53","53","chatgpto1","3.83377862478779","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"54","54","chatgpto1","3.12979901799699","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"55","55","chatgpto1","4.53347682584582","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"56","56","chatgpto1","2.92156950313023","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"57","57","chatgpto1","2.35463260204988","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"58","58","chatgpto1","3.31024443799457","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"59","59","chatgpto1","2.23076912622681","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"60","60","chatgpto1","1.70388699914976","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"61","61","chatgpto1","3.83374847747646","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"62","62","chatgpto1","2.87902591644421","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"63","63","chatgpto1","2.98255327232381","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"64","64","chatgpto1","2.31027234896255","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"65","65","chatgpto1","2.85269875161466","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"66","66","chatgpto1","2.17628492748732","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"67","67","chatgpto1","2.98625721595903","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"68","68","chatgpto1","2.42199723356526","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"69","69","chatgpto1","2.37620558007149","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"70","70","chatgpto1","2.71516846720197","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"71","71","chatgpto1","2.71102522351591","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"72","72","chatgpto1","1.72047746460446","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"73","73","chatgpto1","2.2307687841249","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"74","74","chatgpto1","4.38116266657802","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"75","75","chatgpto1","3.13258330540678","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"76","76","chatgpto1","3.4346449489664","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"77","77","chatgpto1","1.93214878152412","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"78","78","chatgpto1","4.2777987960439","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"79","79","chatgpto1","2.4883054090759","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"80","80","chatgpto1","2.58206435766183","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"81","81","chatgpto1","2.99103302333304","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"82","82","chatgpto1","1.22519665124057","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"83","83","chatgpto1","2.77034450951026","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"84","84","chatgpto1","2.15536678035584","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"85","85","chatgpto1","3.059808872726","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"86","86","chatgpto1","2.77149096153379","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"87","87","chatgpto1","3.83414724354779","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"88","88","chatgpto1","2.99803913073134","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"89","89","chatgpto1","1.76402703151642","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"90","90","chatgpto1","2.63636516735035","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"91","91","chatgpto1","2.44731335278872","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"92","92","chatgpto1","3.83501609544431","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"93","93","chatgpto1","1.74125759557444","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"94","94","chatgpto1","2.90931236158189","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","1.79547882772604","4.08473664838476","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
