"","subject","LLM","p0","p1","p2","p3","p4","p5","n_round1","n_round2","n_round3","n_round4","n_round5","n_round6","n_round7","n_round8","n_round9","n_round10","n_round11","n_round12","n_round13","n_round14","n_round15","n_round16","treatment","temperature","ci_lower_p0","ci_upper_p0","ci_lower_p1","ci_upper_p1","ci_lower_p2","ci_upper_p2","ci_lower_p3","ci_upper_p3","ci_lower_p4","ci_upper_p4","ci_lower_p5","ci_upper_p5","ci_lower_n_round1","ci_upper_n_round1","ci_lower_n_round2","ci_upper_n_round2","ci_lower_n_round3","ci_upper_n_round3","ci_lower_n_round4","ci_upper_n_round4","ci_lower_n_round5","ci_upper_n_round5","ci_lower_n_round6","ci_upper_n_round6","ci_lower_n_round7","ci_upper_n_round7","ci_lower_n_round8","ci_upper_n_round8","ci_lower_n_round9","ci_upper_n_round9","ci_lower_n_round10","ci_upper_n_round10","ci_lower_n_round11","ci_upper_n_round11","ci_lower_n_round12","ci_upper_n_round12","ci_lower_n_round13","ci_upper_n_round13","ci_lower_n_round14","ci_upper_n_round14","ci_lower_n_round15","ci_upper_n_round15","ci_lower_n_round16","ci_upper_n_round16"
"11","11","chatgpto1","0.496310972760682","0.273092772244465","0.0430952036829042","3.39897313461558e-09","6.79724391385647e-08","0.187500979940537","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"12","12","chatgpto1","0.461971427710957","0.100493323256474","2.57790018436321e-08","2.5752407509107e-08","2.5752407094271e-08","0.437535171748752","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"13","13","chatgpto1","0.199492567726879","1.62331141543832e-08","1.6236029403118e-08","0.0503949037011521","1.62201325148492e-08","0.750112479882693","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"14","14","chatgpto1","0.264120603522802","0.485878577370605","1.99379155893756e-08","2.00013420688055e-08","1.99637863326148e-08","0.25000075920355","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"15","15","chatgpto1","0.19414107824558","0.118358896569868","2.12473121555136e-08","2.12473164741481e-08","2.12473121555134e-08","0.687499961442612","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"16","16","chatgpto1","0.327805309688162","0.234690783127122","1.96357072948114e-08","1.59471242839619e-08","1.96056065492488e-08","0.437503851996278","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"17","17","chatgpto1","0.367581046917577","0.22312291221618","7.95672948691297e-07","3.56136952320988e-07","0.0124911258729084","0.396803763183433","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"18","18","chatgpto1","0.41158665464695","0.27576642219685","2.92628291811513e-08","2.2216096161672e-09","2.92732662371791e-08","0.312646862398495","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"19","19","chatgpto1","0.259847347709722","0.177634516036549","1.44667490297102e-08","1.54398462088439e-08","1.54398493423013e-08","0.562518090907285","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"20","20","chatgpto1","0.403878891418051","0.158621207510053","2.65482849796609e-08","2.4666815536571e-08","2.65515944218725e-08","0.437499823305201","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"21","21","chatgpto1","0.499634066383717","0.271306440343576","0.0414726321340955","1.81546695000711e-08","7.0187081310208e-08","0.187586772796861","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"22","22","chatgpto1","0.45915869252049","0.103330134997269","9.19659562867332e-09","3.41911240600974e-08","2.74636498143017e-08","0.437511101630872","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"23","23","chatgpto1","0.346112259583201","0.16813360744318","0.0479310038405613","2.89474330448478e-08","2.9299443168257e-08","0.437823070886181","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"24","24","chatgpto1","0.338735888896229","0.223509828776482","2.1155099495396e-08","1.8757906836363e-08","2.1155099495396e-08","0.437754221259183","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"25","25","chatgpto1","0.407335408888247","0.109810549675861","0.045356523335812","2.93907190402298e-08","2.93910512652538e-08","0.43749745931831","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"26","26","chatgpto1","0.535233665570668","0.112302877009619","0.0399709811239546","3.39762631738664e-08","2.21623032966218e-08","0.312492420157193","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"27","27","chatgpto1","0.562491691362403","1.89131052788532e-07","1.57135292134228e-08","1.57001612591442e-08","1.57135642649473e-08","0.43750807237929","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"28","28","chatgpto1","0.437436648260516","5.80825396823366e-05","1.52936662884352e-06","1.89176525173605e-06","1.52936795390405e-06","0.562500318699967","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"29","29","chatgpto1","0.531659970206895","0.155839845740311","2.52854287379065e-08","2.93530340264579e-08","2.93530340264579e-08","0.312500100061297","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"30","30","chatgpto1","0.462546333675611","0.22495140941481","2.18161949328358e-08","2.18162998942631e-08","2.18163023491883e-08","0.312502191460781","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"31","31","chatgpto1","0.348303307203537","0.291362852237978","0.0478335355849346","1.70423516168074e-08","2.937287660897e-08","0.312500258558322","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"32","32","chatgpto1","0.205124859804679","0.232048390219674","2.11947426505539e-08","1.89769763365067e-08","2.1194742650554e-08","0.562826688609185","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"33","33","chatgpto1","0.422465515557342","0.218161920269246","0.0466831121540065","4.66620427372663e-08","4.27419710597868e-08","0.312689362615392","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"34","34","chatgpto1","0.35429175804031","0.160629895568482","0.0475933211866186","3.43135651535392e-08","3.43140661586684e-08","0.437484956576959","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"35","35","chatgpto1","0.339048259295804","0.0984157718326475","2.19949529517505e-08","2.22974831146757e-08","2.22974918634454e-08","0.562535902281621","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"36","36","chatgpto1","0.499988971493181","5.52834645715203e-07","2.12362007977993e-08","2.12362399234429e-08","2.12362354543272e-08","0.500010411963497","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"37","37","chatgpto1","0.268289108494527","0.170490013152027","1.89051847430059e-08","1.65546840092542e-08","1.76821379106195e-08","0.561220825211439","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"38","38","chatgpto1","0.343024094080967","0.168864580527546","0.050598475583917","1.92722257049352e-08","4.09044679094666e-08","0.437512789630876","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"39","39","chatgpto1","0.339808363989916","0.0976321863041381","2.23579773248778e-08","2.23264662891522e-08","2.23264572517268e-08","0.562559382695045","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"40","40","chatgpto1","0.334183783908674","0.228273707831777","2.07290923370924e-08","1.92033596153794e-08","2.0710681227212e-08","0.437542447616416","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"41","41","chatgpto1","0.398459047069905","0.164005115692589","2.98935350677678e-08","2.52300925416974e-08","1.44803385279271e-08","0.43753576763354","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"42","42","chatgpto1","0.421534760773228","0.221052765729966","0.0449089658042576","3.06860284554253e-08","2.98198354750761e-08","0.312503447186685","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"43","43","chatgpto1","0.272172702009867","0.102820516966632","1.27951791344097e-08","1.27952022541425e-08","1.27952022541427e-08","0.625006742637917","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"44","44","chatgpto1","0.286956877343859","0.110254956744582","3.19993073051213e-07","1.38202536352031e-07","0.00797886967786493","0.594808838038084","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
"45","45","chatgpto1","0.136593639342578","0.23840161975805","1.8501277795228e-08","1.68204182524676e-08","1.84779353005363e-08","0.625004687099741","901","501","901","501","901","901","901","901","501","901","501","501","901","501","901","501","_1","1","0.198133754040344","0.534364177805427","0.0309905062553835","0.352446350104274","1.25911174911864e-08","0.0509925850827793","7.2675068524982e-09","9.97855819256278e-06","1.25604691256401e-08","2.68840032473253e-07","0.264136401671254","0.625004752162818","901","901","501","501","901","901","501","501","901","901","901","901","901","901","901","901","501","501","901","901","501","501","501","501","901","901","501","501","901","901","501","501"
