X,subject,LLM,tau,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_tau,ci_upper_tau,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
11,11,gemini2,2.037858528,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
12,12,gemini2,0.705300212,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
13,13,gemini2,1.413782009,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
14,14,gemini2,1.545456612,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
15,15,gemini2,2.242646536,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
16,16,gemini2,1.153813965,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
17,17,gemini2,0.906158176,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
18,18,gemini2,1.592152664,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
19,19,gemini2,1.380952933,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
20,20,gemini2,0.863117306,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
21,21,gemini2,1.816901867,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
22,22,gemini2,1.362480952,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
23,23,gemini2,1.832187871,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
24,24,gemini2,1.413795582,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
25,25,gemini2,1.37893136,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
26,26,gemini2,2.076923574,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
27,27,gemini2,1.416060235,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
28,28,gemini2,2.736655989,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
29,29,gemini2,1.247191045,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
30,30,gemini2,1.74509821,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
31,31,gemini2,1.317880994,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
32,32,gemini2,1.739736179,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
33,33,gemini2,2.846154512,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
34,34,gemini2,1.898551348,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
35,35,gemini2,1.701439449,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
36,36,gemini2,1.51362119,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
37,37,gemini2,1.378314441,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
38,38,gemini2,1.329771704,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
39,39,gemini2,1.033958545,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
40,40,gemini2,1.795273737,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
41,41,gemini2,1.673267867,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
42,42,gemini2,1.965559175,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
43,43,gemini2,2.442623126,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
44,44,gemini2,2.037118603,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
45,45,gemini2,1.124321905,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
46,46,gemini2,1.15382505,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
47,47,gemini2,1.015504289,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
48,48,gemini2,1.745100499,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
49,49,gemini2,1.258065135,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
50,50,gemini2,0.908025185,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
51,51,gemini2,0.58410844,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
52,52,gemini2,1.229517016,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
53,53,gemini2,0.826086957,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
54,54,gemini2,1.322274952,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
55,55,gemini2,1.861313037,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
56,56,gemini2,2.405754029,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
57,57,gemini2,1.222222691,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
58,58,gemini2,0.975683793,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
59,59,gemini2,1.338529654,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
60,60,gemini2,2.006247983,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
61,61,gemini2,0.873174387,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
62,62,gemini2,1.18323007,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
63,63,gemini2,2.113488961,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
64,64,gemini2,1.320676559,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
65,65,gemini2,1.698976442,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
66,66,gemini2,1.03720706,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
67,67,gemini2,1.037618713,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
68,68,gemini2,0.951397968,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
69,69,gemini2,0.737774428,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
70,70,gemini2,2.993948177,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
71,71,gemini2,1.414241849,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
72,72,gemini2,1.750886866,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
73,73,gemini2,1.705016954,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
74,74,gemini2,1.197802348,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
75,75,gemini2,2.178958792,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
76,76,gemini2,1.61042492,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
77,77,gemini2,1.963615513,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
78,78,gemini2,0.666835006,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
79,79,gemini2,1.359549603,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
80,80,gemini2,1.332818908,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
81,81,gemini2,0.862439385,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
82,82,gemini2,1.070773136,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
83,83,gemini2,1.418129235,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
84,84,gemini2,2.311505607,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
85,85,gemini2,0.629073091,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
86,86,gemini2,1.801124149,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
87,87,gemini2,1.64151161,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
88,88,gemini2,1.076669986,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
89,89,gemini2,1.300021291,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
90,90,gemini2,1.985075347,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
91,91,gemini2,1.86131428,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
92,92,gemini2,1.456142777,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
93,93,gemini2,1.857143868,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
94,94,gemini2,1.444592544,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
95,95,gemini2,2.01679855,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
96,96,gemini2,1.531650738,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
97,97,gemini2,1.311727891,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
98,98,gemini2,1.096080093,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.730527408,2.508772325,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
