X,subject,LLM,p0,p1,p2,p3,p4,p5,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_p0,ci_upper_p0,ci_lower_p1,ci_upper_p1,ci_lower_p2,ci_upper_p2,ci_lower_p3,ci_upper_p3,ci_lower_p4,ci_upper_p4,ci_lower_p5,ci_upper_p5,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
11,11,gemini2,0.281929738,0.367874314,0.050869557,0.049322267,7.45E-08,0.250004048,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
12,12,gemini2,0.920057072,0.017440073,4.66E-07,2.36E-07,1.48E-06,0.062500676,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
13,13,gemini2,0.500634601,0.211777113,0.09997357,1.13E-08,5.58E-08,0.187614649,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
14,14,gemini2,0.433467537,0.122307768,0.161399284,0.031394049,8.96E-08,0.251431273,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
15,15,gemini2,0.528805432,0.092359793,0.148476023,0.042849496,6.95E-08,0.187509186,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
16,16,gemini2,0.373487055,0.285786216,0.101661114,0.114064416,7.35E-08,0.125001125,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
17,17,gemini2,0.412001451,0.462975908,3.14E-07,1.94E-05,4.96E-07,0.125002462,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
18,18,gemini2,0.553988707,0.163462252,0.065842838,5.39E-08,0.028749947,0.187956202,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
19,19,gemini2,0.542457784,0.247473514,0.022560721,4.97E-09,5.51E-08,0.18750792,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
20,20,gemini2,0.712979595,0.149682503,0.036538812,0.03828905,1.59E-07,0.06250988,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
21,21,gemini2,0.574199725,0.090092824,0.136873455,1.55E-06,0.011328816,0.187503632,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
22,22,gemini2,0.509956083,0.190783335,0.034214784,0.037900774,0.039645128,0.187499896,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
23,23,gemini2,0.418896992,0.350838723,0.042763007,1.76E-08,3.78E-08,0.187501224,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
24,24,gemini2,0.610311728,1.04E-07,0.20218681,5.34E-08,1.31E-08,0.187501291,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
25,25,gemini2,0.707078491,0.117767326,0.015050081,0.034864847,8.15E-08,0.125239173,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
26,26,gemini2,0.447016081,0.147253442,0.119729362,0.03599985,5.75E-08,0.250001208,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
27,27,gemini2,0.384981473,0.350492706,0.083921095,2.79E-08,2.96E-08,0.180604668,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
28,28,gemini2,0.573265189,0.148946522,1.43E-07,3.65E-08,0.027753621,0.250034489,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
29,29,gemini2,0.558481264,0.212755201,0.103762759,2.57E-08,4.44E-08,0.125000707,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
30,30,gemini2,0.585418077,0.106598863,0.057963726,2.82E-08,3.46E-08,0.250019271,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
31,31,gemini2,0.436314893,0.407629938,0.02881054,3.76E-09,1.84E-07,0.127244441,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
32,32,gemini2,0.38362981,0.225240675,0.139489968,3.52E-08,3.49E-08,0.251639477,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
33,33,gemini2,0.420666326,0.168323354,1.20E-08,4.93E-08,0.036009655,0.375000604,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
34,34,gemini2,0.510261304,0.089089515,0.213148799,2.00E-08,4.06E-07,0.187499955,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
35,35,gemini2,0.493011177,0.218667221,4.80E-08,0.100816685,9.67E-09,0.187504858,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
36,36,gemini2,0.549696658,0.160521642,2.70E-08,0.039789151,4.69E-08,0.249992476,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
37,37,gemini2,0.569940057,0.269796775,1.66E-08,0.035259292,4.86E-08,0.125003811,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
38,38,gemini2,0.779801842,0.067164688,1.52E-07,3.76E-08,0.027814567,0.125218713,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
39,39,gemini2,0.515573709,0.236432812,0.12212392,3.97E-08,3.53E-08,0.125869484,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
40,40,gemini2,0.648411036,0.037945121,0.063648589,3.49E-08,5.17E-08,0.249995166,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
41,41,gemini2,0.540391945,0.145157194,0.163271626,0.025488107,8.19E-08,0.125691047,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
42,42,gemini2,0.497913728,0.039057634,0.096064392,5.49E-08,0.06823043,0.298733761,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
43,43,gemini2,0.498717203,0.217192658,5.64E-09,0.034093558,4.94E-08,0.249996526,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
44,44,gemini2,0.421060973,0.228592237,0.100345828,1.29E-08,3.96E-08,0.250000909,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
45,45,gemini2,0.714790732,0.033386089,7.36E-08,2.55E-08,0.062125904,0.189697176,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
46,46,gemini2,0.563638316,0.049086137,0.092771034,0.107002321,8.03E-08,0.187502111,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
47,47,gemini2,0.779576755,0.157806654,1.19E-09,1.85E-08,3.54E-08,0.062616536,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
48,48,gemini2,0.434719347,0.228167551,0.113618814,0.034569773,7.56E-08,0.18892444,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
49,49,gemini2,0.660680902,0.140912736,0.046566412,0.026835368,7.44E-08,0.125004507,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
50,50,gemini2,0.548479322,0.327364483,0.061501388,1.86E-08,4.83E-08,0.06265474,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
51,51,gemini2,0.566099133,0.185205669,2.02E-08,0.18619511,8.51E-08,0.062499983,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
52,52,gemini2,0.382908656,0.350023699,0.142020005,3.82E-08,3.64E-08,0.125047565,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
53,53,gemini2,0.699702917,0.140097515,0.013442902,0.084256997,5.62E-08,0.062499612,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
54,54,gemini2,0.460841855,0.273816872,0.098920393,5.48E-08,0.041358799,0.125062027,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
55,55,gemini2,0.614732769,0.07932022,4.17E-08,2.98E-08,2.10E-08,0.305946918,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
56,56,gemini2,0.598361592,0.158751456,8.92E-08,0.030347057,0.024904638,0.187635168,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
